key,value,date
POS,3,09/01/2010
POS,5,10/01/2010
POS,4,11/01/2010
POS,3,12/01/2010
POS,4,01/01/2011
POS,2,02/01/2011
POS,4,03/01/2011
POS,2,04/01/2011
POS,7,05/01/2011
POS,16,06/01/2011
POS,20,07/01/2011
POS,12,08/01/2011
POS,14,09/01/2011
POS,15,10/01/2011
POS,12,11/01/2011
POS,13,12/01/2011
POS,11,01/01/2012
POS,7,02/01/2012
POS,6,03/01/2012
POS,8,04/01/2012
POS,23,05/01/2012
POS,17,06/01/2012
POS,19,07/01/2012
POS,25,08/01/2012
POS,16,09/01/2012
POS,18,10/01/2012
POS,9,11/01/2012
POS,6,12/01/2012
NEG,0,09/01/2010
NEG,1,10/01/2010
NEG,2,11/01/2010
NEG,0,12/01/2010
NEG,0,01/01/2011
NEG,0,02/01/2011
NEG,2,03/01/2011
NEG,0,04/01/2011
NEG,2,05/01/2011
NEG,4,06/01/2011
NEG,2,07/01/2011
NEG,0,08/01/2011
NEG,3,09/01/2011
NEG,4,10/01/2011
NEG,4,11/01/2011
NEG,0,12/01/2011
NEG,3,01/01/2012
NEG,0,02/01/2012
NEG,2,03/01/2012
NEG,1,04/01/2012
NEG,3,05/01/2012
NEG,2,06/01/2012
NEG,2,07/01/2012
NEG,2,08/01/2012
NEG,3,09/01/2012
NEG,2,10/01/2012
NEG,1,11/01/2012
NEG,2,12/01/2012
