key,value,date
POS,5,08/01/2005
POS,1,09/01/2005
POS,6,10/01/2005
POS,3,11/01/2005
POS,3,12/01/2005
POS,6,01/01/2006
POS,5,02/01/2006
POS,5,03/01/2006
POS,5,04/01/2006
POS,4,05/01/2006
POS,5,06/01/2006
POS,5,07/01/2006
POS,6,08/01/2006
POS,9,09/01/2006
POS,5,10/01/2006
POS,2,11/01/2006
POS,4,12/01/2006
POS,8,01/01/2007
POS,5,02/01/2007
POS,6,03/01/2007
POS,7,04/01/2007
POS,5,05/01/2007
POS,3,06/01/2007
POS,14,07/01/2007
POS,15,08/01/2007
POS,14,09/01/2007
POS,6,10/01/2007
POS,6,11/01/2007
POS,12,12/01/2007
POS,14,01/01/2008
POS,14,02/01/2008
POS,13,03/01/2008
POS,13,04/01/2008
POS,11,05/01/2008
POS,5,06/01/2008
POS,11,07/01/2008
POS,14,08/01/2008
POS,11,09/01/2008
POS,18,10/01/2008
POS,8,11/01/2008
POS,13,12/01/2008
POS,19,01/01/2009
POS,10,02/01/2009
POS,16,03/01/2009
POS,24,04/01/2009
POS,18,05/01/2009
POS,19,06/01/2009
POS,14,07/01/2009
POS,20,08/01/2009
POS,18,09/01/2009
POS,22,10/01/2009
POS,17,11/01/2009
POS,14,12/01/2009
POS,23,01/01/2010
POS,18,02/01/2010
POS,27,03/01/2010
POS,29,04/01/2010
POS,33,05/01/2010
POS,30,06/01/2010
POS,26,07/01/2010
POS,41,08/01/2010
POS,30,09/01/2010
POS,38,10/01/2010
POS,32,11/01/2010
POS,25,12/01/2010
POS,23,01/01/2011
POS,23,02/01/2011
POS,29,03/01/2011
POS,24,04/01/2011
POS,24,05/01/2011
POS,33,06/01/2011
POS,43,07/01/2011
POS,42,08/01/2011
POS,49,09/01/2011
POS,47,10/01/2011
POS,42,11/01/2011
POS,44,12/01/2011
POS,46,01/01/2012
POS,40,02/01/2012
POS,34,03/01/2012
POS,40,04/01/2012
POS,37,05/01/2012
POS,37,06/01/2012
POS,37,07/01/2012
POS,51,08/01/2012
POS,38,09/01/2012
POS,45,10/01/2012
POS,38,11/01/2012
POS,18,12/01/2012
NEG,1,08/01/2005
NEG,0,09/01/2005
NEG,0,10/01/2005
NEG,2,11/01/2005
NEG,0,12/01/2005
NEG,0,01/01/2006
NEG,0,02/01/2006
NEG,0,03/01/2006
NEG,2,04/01/2006
NEG,0,05/01/2006
NEG,0,06/01/2006
NEG,0,07/01/2006
NEG,1,08/01/2006
NEG,0,09/01/2006
NEG,1,10/01/2006
NEG,2,11/01/2006
NEG,0,12/01/2006
NEG,0,01/01/2007
NEG,0,02/01/2007
NEG,0,03/01/2007
NEG,1,04/01/2007
NEG,1,05/01/2007
NEG,1,06/01/2007
NEG,0,07/01/2007
NEG,3,08/01/2007
NEG,1,09/01/2007
NEG,4,10/01/2007
NEG,1,11/01/2007
NEG,1,12/01/2007
NEG,3,01/01/2008
NEG,3,02/01/2008
NEG,4,03/01/2008
NEG,6,04/01/2008
NEG,4,05/01/2008
NEG,1,06/01/2008
NEG,5,07/01/2008
NEG,4,08/01/2008
NEG,12,09/01/2008
NEG,5,10/01/2008
NEG,6,11/01/2008
NEG,3,12/01/2008
NEG,12,01/01/2009
NEG,4,02/01/2009
NEG,5,03/01/2009
NEG,8,04/01/2009
NEG,9,05/01/2009
NEG,7,06/01/2009
NEG,3,07/01/2009
NEG,6,08/01/2009
NEG,8,09/01/2009
NEG,6,10/01/2009
NEG,1,11/01/2009
NEG,3,12/01/2009
NEG,3,01/01/2010
NEG,5,02/01/2010
NEG,3,03/01/2010
NEG,9,04/01/2010
NEG,8,05/01/2010
NEG,10,06/01/2010
NEG,9,07/01/2010
NEG,11,08/01/2010
NEG,6,09/01/2010
NEG,3,10/01/2010
NEG,12,11/01/2010
NEG,3,12/01/2010
NEG,12,01/01/2011
NEG,6,02/01/2011
NEG,3,03/01/2011
NEG,4,04/01/2011
NEG,11,05/01/2011
NEG,5,06/01/2011
NEG,15,07/01/2011
NEG,14,08/01/2011
NEG,14,09/01/2011
NEG,20,10/01/2011
NEG,11,11/01/2011
NEG,3,12/01/2011
NEG,10,01/01/2012
NEG,12,02/01/2012
NEG,7,03/01/2012
NEG,4,04/01/2012
NEG,4,05/01/2012
NEG,3,06/01/2012
NEG,3,07/01/2012
NEG,6,08/01/2012
NEG,9,09/01/2012
NEG,3,10/01/2012
NEG,9,11/01/2012
NEG,6,12/01/2012
