label,count,month
POS,5,09/01/2010
POS,12,10/01/2010
POS,8,11/01/2010
POS,4,12/01/2010
POS,7,01/01/2011
POS,3,02/01/2011
POS,8,03/01/2011
POS,6,04/01/2011
POS,12,05/01/2011
POS,7,06/01/2011
POS,10,07/01/2011
POS,22,08/01/2011
POS,11,09/01/2011
POS,8,10/01/2011
POS,16,11/01/2011
POS,12,12/01/2011
POS,20,01/01/2012
POS,11,02/01/2012
POS,16,03/01/2012
POS,14,04/01/2012
POS,10,05/01/2012
POS,13,06/01/2012
POS,19,07/01/2012
POS,19,08/01/2012
POS,18,09/01/2012
POS,19,10/01/2012
POS,16,11/01/2012
POS,5,12/01/2012
NEG,0,09/01/2010
NEG,2,10/01/2010
NEG,0,11/01/2010
NEG,2,12/01/2010
NEG,0,01/01/2011
NEG,1,02/01/2011
NEG,1,03/01/2011
NEG,0,04/01/2011
NEG,0,05/01/2011
NEG,7,06/01/2011
NEG,1,07/01/2011
NEG,2,08/01/2011
NEG,0,09/01/2011
NEG,7,10/01/2011
NEG,3,11/01/2011
NEG,1,12/01/2011
NEG,1,01/01/2012
NEG,1,02/01/2012
NEG,0,03/01/2012
NEG,2,04/01/2012
NEG,1,05/01/2012
NEG,2,06/01/2012
NEG,1,07/01/2012
NEG,1,08/01/2012
NEG,3,09/01/2012
NEG,1,10/01/2012
NEG,1,11/01/2012
NEG,2,12/01/2012
