label,count,month
POS,1,10/01/2008
POS,0,11/01/2008
POS,2,01/01/2009
POS,1,02/01/2009
POS,2,03/01/2009
POS,2,04/01/2009
POS,7,05/01/2009
POS,3,06/01/2009
POS,3,07/01/2009
POS,3,08/01/2009
POS,3,09/01/2009
POS,12,10/01/2009
POS,3,11/01/2009
POS,6,12/01/2009
POS,1,01/01/2010
POS,4,02/01/2010
POS,4,03/01/2010
POS,6,04/01/2010
POS,7,05/01/2010
POS,5,06/01/2010
POS,5,07/01/2010
POS,10,08/01/2010
POS,7,09/01/2010
POS,11,10/01/2010
POS,4,11/01/2010
POS,11,12/01/2010
POS,6,01/01/2011
POS,3,02/01/2011
POS,6,03/01/2011
POS,5,04/01/2011
POS,13,05/01/2011
POS,10,06/01/2011
POS,14,07/01/2011
POS,11,08/01/2011
POS,15,09/01/2011
POS,16,10/01/2011
POS,13,11/01/2011
POS,9,12/01/2011
POS,8,01/01/2012
POS,5,02/01/2012
POS,14,03/01/2012
POS,18,04/01/2012
POS,13,05/01/2012
POS,18,06/01/2012
POS,13,07/01/2012
POS,11,08/01/2012
POS,14,09/01/2012
POS,11,10/01/2012
POS,13,11/01/2012
POS,9,12/01/2012
NEG,0,10/01/2008
NEG,1,11/01/2008
NEG,0,01/01/2009
NEG,0,02/01/2009
NEG,0,03/01/2009
NEG,0,04/01/2009
NEG,2,05/01/2009
NEG,1,06/01/2009
NEG,5,07/01/2009
NEG,0,08/01/2009
NEG,1,09/01/2009
NEG,1,10/01/2009
NEG,0,11/01/2009
NEG,3,12/01/2009
NEG,2,01/01/2010
NEG,1,02/01/2010
NEG,2,03/01/2010
NEG,3,04/01/2010
NEG,4,05/01/2010
NEG,2,06/01/2010
NEG,1,07/01/2010
NEG,1,08/01/2010
NEG,4,09/01/2010
NEG,2,10/01/2010
NEG,4,11/01/2010
NEG,5,12/01/2010
NEG,3,01/01/2011
NEG,1,02/01/2011
NEG,2,03/01/2011
NEG,3,04/01/2011
NEG,2,05/01/2011
NEG,2,06/01/2011
NEG,6,07/01/2011
NEG,5,08/01/2011
NEG,5,09/01/2011
NEG,8,10/01/2011
NEG,7,11/01/2011
NEG,4,12/01/2011
NEG,1,01/01/2012
NEG,2,02/01/2012
NEG,3,03/01/2012
NEG,2,04/01/2012
NEG,5,05/01/2012
NEG,6,06/01/2012
NEG,2,07/01/2012
NEG,3,08/01/2012
NEG,3,09/01/2012
NEG,1,10/01/2012
NEG,2,11/01/2012
NEG,2,12/01/2012
