key,value,date
POS,4,11/01/2010
POS,9,12/01/2010
POS,10,01/01/2011
POS,7,02/01/2011
POS,7,03/01/2011
POS,14,04/01/2011
POS,20,05/01/2011
POS,24,06/01/2011
POS,24,07/01/2011
POS,32,08/01/2011
POS,32,09/01/2011
POS,16,10/01/2011
POS,13,11/01/2011
POS,20,12/01/2011
POS,18,01/01/2012
POS,14,02/01/2012
POS,15,03/01/2012
POS,27,04/01/2012
POS,22,05/01/2012
POS,25,06/01/2012
POS,23,07/01/2012
POS,21,08/01/2012
POS,21,09/01/2012
POS,17,10/01/2012
POS,17,11/01/2012
POS,9,12/01/2012
NEG,0,11/01/2010
NEG,1,12/01/2010
NEG,3,01/01/2011
NEG,1,02/01/2011
NEG,2,03/01/2011
NEG,3,04/01/2011
NEG,12,05/01/2011
NEG,9,06/01/2011
NEG,9,07/01/2011
NEG,30,08/01/2011
NEG,19,09/01/2011
NEG,13,10/01/2011
NEG,13,11/01/2011
NEG,8,12/01/2011
NEG,4,01/01/2012
NEG,6,02/01/2012
NEG,5,03/01/2012
NEG,6,04/01/2012
NEG,3,05/01/2012
NEG,6,06/01/2012
NEG,8,07/01/2012
NEG,1,08/01/2012
NEG,5,09/01/2012
NEG,1,10/01/2012
NEG,1,11/01/2012
NEG,3,12/01/2012
