label,count,month
POS,0,10/01/2008
POS,9,07/01/2009
POS,9,08/01/2009
POS,8,09/01/2009
POS,8,10/01/2009
POS,5,11/01/2009
POS,9,12/01/2009
POS,11,01/01/2010
POS,5,02/01/2010
POS,7,03/01/2010
POS,5,04/01/2010
POS,2,05/01/2010
POS,7,06/01/2010
POS,9,07/01/2010
POS,3,08/01/2010
POS,5,09/01/2010
POS,9,10/01/2010
POS,5,11/01/2010
POS,7,12/01/2010
POS,7,01/01/2011
POS,6,02/01/2011
POS,3,03/01/2011
POS,3,04/01/2011
POS,4,05/01/2011
POS,4,06/01/2011
POS,7,07/01/2011
POS,7,08/01/2011
POS,4,09/01/2011
POS,3,10/01/2011
POS,7,11/01/2011
POS,4,12/01/2011
POS,10,01/01/2012
POS,10,02/01/2012
POS,10,03/01/2012
POS,8,04/01/2012
POS,11,05/01/2012
POS,7,06/01/2012
POS,8,07/01/2012
POS,13,08/01/2012
POS,7,09/01/2012
POS,5,10/01/2012
POS,8,11/01/2012
POS,4,12/01/2012
NEG,1,10/01/2008
NEG,1,07/01/2009
NEG,4,08/01/2009
NEG,4,09/01/2009
NEG,2,10/01/2009
NEG,4,11/01/2009
NEG,1,12/01/2009
NEG,0,01/01/2010
NEG,0,02/01/2010
NEG,1,03/01/2010
NEG,1,04/01/2010
NEG,1,05/01/2010
NEG,2,06/01/2010
NEG,3,07/01/2010
NEG,1,08/01/2010
NEG,1,09/01/2010
NEG,2,10/01/2010
NEG,0,11/01/2010
NEG,3,12/01/2010
NEG,4,01/01/2011
NEG,1,02/01/2011
NEG,2,03/01/2011
NEG,1,04/01/2011
NEG,6,05/01/2011
NEG,1,06/01/2011
NEG,0,07/01/2011
NEG,3,08/01/2011
NEG,3,09/01/2011
NEG,2,10/01/2011
NEG,1,11/01/2011
NEG,5,12/01/2011
NEG,2,01/01/2012
NEG,0,02/01/2012
NEG,1,03/01/2012
NEG,0,04/01/2012
NEG,2,05/01/2012
NEG,3,06/01/2012
NEG,1,07/01/2012
NEG,5,08/01/2012
NEG,3,09/01/2012
NEG,6,10/01/2012
NEG,3,11/01/2012
NEG,1,12/01/2012
