key,value,date
POS,1,09/01/2007
POS,0,08/01/2009
POS,12,04/01/2010
POS,21,05/01/2010
POS,26,06/01/2010
POS,21,07/01/2010
POS,14,08/01/2010
POS,24,09/01/2010
POS,23,10/01/2010
POS,18,11/01/2010
POS,20,12/01/2010
POS,11,01/01/2011
POS,8,02/01/2011
POS,19,03/01/2011
POS,16,04/01/2011
POS,27,05/01/2011
POS,17,06/01/2011
POS,18,07/01/2011
POS,35,08/01/2011
POS,17,09/01/2011
POS,33,10/01/2011
POS,26,11/01/2011
POS,19,12/01/2011
POS,28,01/01/2012
POS,29,02/01/2012
POS,29,03/01/2012
POS,27,04/01/2012
POS,21,05/01/2012
POS,16,06/01/2012
POS,25,07/01/2012
POS,32,08/01/2012
POS,26,09/01/2012
POS,25,10/01/2012
POS,23,11/01/2012
POS,9,12/01/2012
NEG,0,09/01/2007
NEG,1,08/01/2009
NEG,5,04/01/2010
NEG,7,05/01/2010
NEG,8,06/01/2010
NEG,13,07/01/2010
NEG,14,08/01/2010
NEG,11,09/01/2010
NEG,7,10/01/2010
NEG,8,11/01/2010
NEG,10,12/01/2010
NEG,8,01/01/2011
NEG,5,02/01/2011
NEG,8,03/01/2011
NEG,12,04/01/2011
NEG,14,05/01/2011
NEG,16,06/01/2011
NEG,13,07/01/2011
NEG,26,08/01/2011
NEG,12,09/01/2011
NEG,24,10/01/2011
NEG,20,11/01/2011
NEG,9,12/01/2011
NEG,10,01/01/2012
NEG,12,02/01/2012
NEG,8,03/01/2012
NEG,17,04/01/2012
NEG,17,05/01/2012
NEG,13,06/01/2012
NEG,16,07/01/2012
NEG,19,08/01/2012
NEG,12,09/01/2012
NEG,18,10/01/2012
NEG,15,11/01/2012
NEG,5,12/01/2012
