label,count,month
POS,0,08/01/2009
POS,1,10/01/2009
POS,3,02/01/2010
POS,2,04/01/2010
POS,1,05/01/2010
POS,2,07/01/2010
POS,2,08/01/2010
POS,3,09/01/2010
POS,3,10/01/2010
POS,2,11/01/2010
POS,1,12/01/2010
POS,1,01/01/2011
POS,5,02/01/2011
POS,4,03/01/2011
POS,5,04/01/2011
POS,0,05/01/2011
POS,5,06/01/2011
POS,12,07/01/2011
POS,17,08/01/2011
POS,17,09/01/2011
POS,3,10/01/2011
POS,7,11/01/2011
POS,7,12/01/2011
POS,9,01/01/2012
POS,10,02/01/2012
POS,5,03/01/2012
POS,10,04/01/2012
POS,7,05/01/2012
POS,9,06/01/2012
POS,10,07/01/2012
POS,14,08/01/2012
POS,9,09/01/2012
POS,5,10/01/2012
POS,5,11/01/2012
POS,6,12/01/2012
NEG,1,08/01/2009
NEG,1,10/01/2009
NEG,0,02/01/2010
NEG,0,04/01/2010
NEG,1,05/01/2010
NEG,1,07/01/2010
NEG,1,08/01/2010
NEG,2,09/01/2010
NEG,1,10/01/2010
NEG,0,11/01/2010
NEG,0,12/01/2010
NEG,0,01/01/2011
NEG,0,02/01/2011
NEG,0,03/01/2011
NEG,1,04/01/2011
NEG,1,05/01/2011
NEG,0,06/01/2011
NEG,0,07/01/2011
NEG,0,08/01/2011
NEG,1,09/01/2011
NEG,0,10/01/2011
NEG,0,11/01/2011
NEG,2,12/01/2011
NEG,0,01/01/2012
NEG,0,02/01/2012
NEG,1,03/01/2012
NEG,4,04/01/2012
NEG,0,05/01/2012
NEG,1,06/01/2012
NEG,3,07/01/2012
NEG,1,08/01/2012
NEG,3,09/01/2012
NEG,1,10/01/2012
NEG,1,11/01/2012
NEG,0,12/01/2012
