key,value,date
POS,0,09/01/2002
POS,1,11/01/2002
POS,1,01/01/2003
POS,1,03/01/2003
POS,1,09/01/2003
POS,4,11/01/2003
POS,1,12/01/2003
POS,3,01/01/2004
POS,2,04/01/2004
POS,1,05/01/2004
POS,3,06/01/2004
POS,2,07/01/2004
POS,2,08/01/2004
POS,3,09/01/2004
POS,1,10/01/2004
POS,1,11/01/2004
POS,4,01/01/2005
POS,4,02/01/2005
POS,1,03/01/2005
POS,3,04/01/2005
POS,5,05/01/2005
POS,4,06/01/2005
POS,1,07/01/2005
POS,4,08/01/2005
POS,2,09/01/2005
POS,8,10/01/2005
POS,2,11/01/2005
POS,4,12/01/2005
POS,4,01/01/2006
POS,3,02/01/2006
POS,7,03/01/2006
POS,5,04/01/2006
POS,5,05/01/2006
POS,2,06/01/2006
POS,4,07/01/2006
POS,1,08/01/2006
POS,4,09/01/2006
POS,3,10/01/2006
POS,6,11/01/2006
POS,2,12/01/2006
POS,5,01/01/2007
POS,4,02/01/2007
POS,3,03/01/2007
POS,9,04/01/2007
POS,3,05/01/2007
POS,6,06/01/2007
POS,4,07/01/2007
POS,8,08/01/2007
POS,5,09/01/2007
POS,6,10/01/2007
POS,7,11/01/2007
POS,6,12/01/2007
POS,21,01/01/2008
POS,21,02/01/2008
POS,13,03/01/2008
POS,13,04/01/2008
POS,14,05/01/2008
POS,7,06/01/2008
POS,18,07/01/2008
POS,14,08/01/2008
POS,12,09/01/2008
POS,9,10/01/2008
POS,8,11/01/2008
POS,11,12/01/2008
POS,14,01/01/2009
POS,23,02/01/2009
POS,19,03/01/2009
POS,20,04/01/2009
POS,17,05/01/2009
POS,17,06/01/2009
POS,22,07/01/2009
POS,25,08/01/2009
POS,16,09/01/2009
POS,21,10/01/2009
POS,14,11/01/2009
POS,14,12/01/2009
POS,27,01/01/2010
POS,10,02/01/2010
POS,14,03/01/2010
POS,13,04/01/2010
POS,16,05/01/2010
POS,18,06/01/2010
POS,6,07/01/2010
POS,11,08/01/2010
POS,10,09/01/2010
POS,23,10/01/2010
POS,12,11/01/2010
POS,19,12/01/2010
POS,16,01/01/2011
POS,13,02/01/2011
POS,17,03/01/2011
POS,31,04/01/2011
POS,24,05/01/2011
POS,36,06/01/2011
POS,36,07/01/2011
POS,49,08/01/2011
POS,33,09/01/2011
POS,33,10/01/2011
POS,33,11/01/2011
POS,37,12/01/2011
POS,67,01/01/2012
POS,45,02/01/2012
POS,44,03/01/2012
POS,72,04/01/2012
POS,65,05/01/2012
POS,60,06/01/2012
POS,46,07/01/2012
POS,44,08/01/2012
POS,39,09/01/2012
POS,31,10/01/2012
POS,32,11/01/2012
POS,17,12/01/2012
NEG,1,09/01/2002
NEG,0,11/01/2002
NEG,0,01/01/2003
NEG,1,03/01/2003
NEG,0,09/01/2003
NEG,0,11/01/2003
NEG,0,12/01/2003
NEG,0,01/01/2004
NEG,1,04/01/2004
NEG,0,05/01/2004
NEG,0,06/01/2004
NEG,0,07/01/2004
NEG,0,08/01/2004
NEG,0,09/01/2004
NEG,1,10/01/2004
NEG,0,11/01/2004
NEG,1,01/01/2005
NEG,1,02/01/2005
NEG,1,03/01/2005
NEG,1,04/01/2005
NEG,0,05/01/2005
NEG,0,06/01/2005
NEG,0,07/01/2005
NEG,0,08/01/2005
NEG,0,09/01/2005
NEG,0,10/01/2005
NEG,0,11/01/2005
NEG,0,12/01/2005
NEG,0,01/01/2006
NEG,0,02/01/2006
NEG,0,03/01/2006
NEG,2,04/01/2006
NEG,2,05/01/2006
NEG,0,06/01/2006
NEG,0,07/01/2006
NEG,0,08/01/2006
NEG,2,09/01/2006
NEG,0,10/01/2006
NEG,0,11/01/2006
NEG,0,12/01/2006
NEG,2,01/01/2007
NEG,1,02/01/2007
NEG,1,03/01/2007
NEG,0,04/01/2007
NEG,2,05/01/2007
NEG,0,06/01/2007
NEG,0,07/01/2007
NEG,0,08/01/2007
NEG,1,09/01/2007
NEG,1,10/01/2007
NEG,1,11/01/2007
NEG,0,12/01/2007
NEG,0,01/01/2008
NEG,2,02/01/2008
NEG,0,03/01/2008
NEG,2,04/01/2008
NEG,4,05/01/2008
NEG,3,06/01/2008
NEG,1,07/01/2008
NEG,3,08/01/2008
NEG,2,09/01/2008
NEG,3,10/01/2008
NEG,4,11/01/2008
NEG,3,12/01/2008
NEG,2,01/01/2009
NEG,6,02/01/2009
NEG,3,03/01/2009
NEG,3,04/01/2009
NEG,4,05/01/2009
NEG,2,06/01/2009
NEG,3,07/01/2009
NEG,14,08/01/2009
NEG,9,09/01/2009
NEG,4,10/01/2009
NEG,2,11/01/2009
NEG,7,12/01/2009
NEG,13,01/01/2010
NEG,9,02/01/2010
NEG,7,03/01/2010
NEG,8,04/01/2010
NEG,4,05/01/2010
NEG,3,06/01/2010
NEG,1,07/01/2010
NEG,12,08/01/2010
NEG,9,09/01/2010
NEG,9,10/01/2010
NEG,3,11/01/2010
NEG,8,12/01/2010
NEG,6,01/01/2011
NEG,7,02/01/2011
NEG,7,03/01/2011
NEG,14,04/01/2011
NEG,7,05/01/2011
NEG,19,06/01/2011
NEG,15,07/01/2011
NEG,30,08/01/2011
NEG,13,09/01/2011
NEG,9,10/01/2011
NEG,15,11/01/2011
NEG,10,12/01/2011
NEG,12,01/01/2012
NEG,17,02/01/2012
NEG,15,03/01/2012
NEG,15,04/01/2012
NEG,10,05/01/2012
NEG,8,06/01/2012
NEG,19,07/01/2012
NEG,24,08/01/2012
NEG,16,09/01/2012
NEG,12,10/01/2012
NEG,12,11/01/2012
NEG,5,12/01/2012
