key,value,date
POS,1,03/01/2004
POS,1,04/01/2004
POS,1,09/01/2004
POS,2,04/01/2005
POS,1,05/01/2005
POS,1,07/01/2006
POS,1,08/01/2006
POS,1,12/01/2006
POS,0,06/01/2007
POS,1,07/01/2007
POS,2,10/01/2007
POS,1,01/01/2008
POS,0,03/01/2008
POS,0,05/01/2008
POS,5,06/01/2008
POS,9,07/01/2008
POS,10,08/01/2008
POS,14,09/01/2008
POS,27,10/01/2008
POS,25,11/01/2008
POS,22,12/01/2008
POS,24,01/01/2009
POS,12,02/01/2009
POS,22,03/01/2009
POS,29,04/01/2009
POS,27,05/01/2009
POS,29,06/01/2009
POS,32,07/01/2009
POS,22,08/01/2009
POS,32,09/01/2009
POS,46,10/01/2009
POS,40,11/01/2009
POS,44,12/01/2009
POS,37,01/01/2010
POS,25,02/01/2010
POS,30,03/01/2010
POS,22,04/01/2010
POS,33,05/01/2010
POS,43,06/01/2010
POS,37,07/01/2010
POS,43,08/01/2010
POS,68,09/01/2010
POS,39,10/01/2010
POS,40,11/01/2010
POS,37,12/01/2010
POS,54,01/01/2011
POS,38,02/01/2011
POS,46,03/01/2011
POS,48,04/01/2011
POS,51,05/01/2011
POS,69,06/01/2011
POS,83,07/01/2011
POS,81,08/01/2011
POS,68,09/01/2011
POS,66,10/01/2011
POS,76,11/01/2011
POS,61,12/01/2011
POS,75,01/01/2012
POS,54,02/01/2012
POS,78,03/01/2012
POS,81,04/01/2012
POS,65,05/01/2012
POS,63,06/01/2012
POS,72,07/01/2012
POS,72,08/01/2012
POS,91,09/01/2012
POS,110,10/01/2012
POS,87,11/01/2012
POS,57,12/01/2012
NEG,0,03/01/2004
NEG,0,04/01/2004
NEG,0,09/01/2004
NEG,0,04/01/2005
NEG,1,05/01/2005
NEG,0,07/01/2006
NEG,0,08/01/2006
NEG,1,12/01/2006
NEG,1,06/01/2007
NEG,0,07/01/2007
NEG,0,10/01/2007
NEG,1,01/01/2008
NEG,1,03/01/2008
NEG,1,05/01/2008
NEG,3,06/01/2008
NEG,5,07/01/2008
NEG,7,08/01/2008
NEG,15,09/01/2008
NEG,15,10/01/2008
NEG,14,11/01/2008
NEG,15,12/01/2008
NEG,25,01/01/2009
NEG,1,02/01/2009
NEG,8,03/01/2009
NEG,18,04/01/2009
NEG,13,05/01/2009
NEG,15,06/01/2009
NEG,15,07/01/2009
NEG,29,08/01/2009
NEG,14,09/01/2009
NEG,17,10/01/2009
NEG,24,11/01/2009
NEG,21,12/01/2009
NEG,17,01/01/2010
NEG,13,02/01/2010
NEG,9,03/01/2010
NEG,10,04/01/2010
NEG,23,05/01/2010
NEG,23,06/01/2010
NEG,15,07/01/2010
NEG,26,08/01/2010
NEG,18,09/01/2010
NEG,21,10/01/2010
NEG,22,11/01/2010
NEG,26,12/01/2010
NEG,16,01/01/2011
NEG,13,02/01/2011
NEG,29,03/01/2011
NEG,23,04/01/2011
NEG,38,05/01/2011
NEG,29,06/01/2011
NEG,27,07/01/2011
NEG,36,08/01/2011
NEG,32,09/01/2011
NEG,30,10/01/2011
NEG,29,11/01/2011
NEG,32,12/01/2011
NEG,25,01/01/2012
NEG,20,02/01/2012
NEG,30,03/01/2012
NEG,26,04/01/2012
NEG,20,05/01/2012
NEG,21,06/01/2012
NEG,27,07/01/2012
NEG,24,08/01/2012
NEG,27,09/01/2012
NEG,34,10/01/2012
NEG,33,11/01/2012
NEG,18,12/01/2012
