key,value,date
POS,4,07/01/2011
POS,37,08/01/2011
POS,17,09/01/2011
POS,17,10/01/2011
POS,21,11/01/2011
POS,14,12/01/2011
POS,25,01/01/2012
POS,14,02/01/2012
POS,17,03/01/2012
POS,20,04/01/2012
POS,18,05/01/2012
POS,19,06/01/2012
POS,11,07/01/2012
POS,11,08/01/2012
POS,10,09/01/2012
POS,16,10/01/2012
POS,17,11/01/2012
POS,6,12/01/2012
NEG,0,07/01/2011
NEG,1,08/01/2011
NEG,0,09/01/2011
NEG,2,10/01/2011
NEG,2,11/01/2011
NEG,1,12/01/2011
NEG,5,01/01/2012
NEG,0,02/01/2012
NEG,3,03/01/2012
NEG,2,04/01/2012
NEG,3,05/01/2012
NEG,1,06/01/2012
NEG,0,07/01/2012
NEG,2,08/01/2012
NEG,0,09/01/2012
NEG,1,10/01/2012
NEG,3,11/01/2012
NEG,0,12/01/2012
