key,value,date
POS,2,10/01/2010
POS,16,11/01/2010
POS,12,12/01/2010
POS,8,01/01/2011
POS,14,02/01/2011
POS,20,03/01/2011
POS,11,04/01/2011
POS,13,05/01/2011
POS,15,06/01/2011
POS,23,07/01/2011
POS,27,08/01/2011
POS,23,09/01/2011
POS,20,10/01/2011
POS,23,11/01/2011
POS,25,12/01/2011
POS,37,01/01/2012
POS,31,02/01/2012
POS,18,03/01/2012
POS,23,04/01/2012
POS,31,05/01/2012
POS,21,06/01/2012
POS,23,07/01/2012
POS,19,08/01/2012
POS,26,09/01/2012
POS,17,10/01/2012
POS,30,11/01/2012
POS,14,12/01/2012
NEG,2,10/01/2010
NEG,4,11/01/2010
NEG,3,12/01/2010
NEG,3,01/01/2011
NEG,3,02/01/2011
NEG,4,03/01/2011
NEG,4,04/01/2011
NEG,3,05/01/2011
NEG,7,06/01/2011
NEG,3,07/01/2011
NEG,3,08/01/2011
NEG,3,09/01/2011
NEG,5,10/01/2011
NEG,5,11/01/2011
NEG,2,12/01/2011
NEG,5,01/01/2012
NEG,4,02/01/2012
NEG,5,03/01/2012
NEG,3,04/01/2012
NEG,1,05/01/2012
NEG,3,06/01/2012
NEG,3,07/01/2012
NEG,7,08/01/2012
NEG,2,09/01/2012
NEG,2,10/01/2012
NEG,4,11/01/2012
NEG,1,12/01/2012
