label,count,month
POS,6,11/01/2010
POS,8,12/01/2010
POS,9,01/01/2011
POS,17,02/01/2011
POS,13,03/01/2011
POS,6,04/01/2011
POS,12,05/01/2011
POS,10,06/01/2011
POS,6,07/01/2011
POS,10,08/01/2011
POS,8,09/01/2011
POS,17,10/01/2011
POS,22,11/01/2011
POS,19,12/01/2011
POS,28,01/01/2012
POS,12,02/01/2012
POS,18,03/01/2012
POS,25,04/01/2012
POS,23,05/01/2012
POS,10,06/01/2012
POS,18,07/01/2012
POS,20,08/01/2012
POS,26,09/01/2012
POS,24,10/01/2012
POS,18,11/01/2012
POS,15,12/01/2012
NEG,0,11/01/2010
NEG,5,12/01/2010
NEG,0,01/01/2011
NEG,2,02/01/2011
NEG,3,03/01/2011
NEG,4,04/01/2011
NEG,1,05/01/2011
NEG,0,06/01/2011
NEG,2,07/01/2011
NEG,3,08/01/2011
NEG,3,09/01/2011
NEG,2,10/01/2011
NEG,1,11/01/2011
NEG,3,12/01/2011
NEG,4,01/01/2012
NEG,1,02/01/2012
NEG,3,03/01/2012
NEG,5,04/01/2012
NEG,3,05/01/2012
NEG,4,06/01/2012
NEG,3,07/01/2012
NEG,4,08/01/2012
NEG,4,09/01/2012
NEG,4,10/01/2012
NEG,7,11/01/2012
NEG,0,12/01/2012
