key,value,date
POS,10,12/01/2009
POS,8,01/01/2010
POS,10,02/01/2010
POS,12,03/01/2010
POS,6,04/01/2010
POS,10,05/01/2010
POS,12,06/01/2010
POS,14,07/01/2010
POS,17,08/01/2010
POS,14,09/01/2010
POS,13,10/01/2010
POS,13,11/01/2010
POS,11,12/01/2010
POS,16,01/01/2011
POS,14,02/01/2011
POS,7,03/01/2011
POS,9,04/01/2011
POS,8,05/01/2011
POS,19,06/01/2011
POS,14,07/01/2011
POS,14,08/01/2011
POS,18,09/01/2011
POS,19,10/01/2011
POS,25,11/01/2011
POS,9,12/01/2011
POS,15,01/01/2012
POS,12,02/01/2012
POS,13,03/01/2012
POS,11,04/01/2012
POS,16,05/01/2012
POS,18,06/01/2012
POS,17,07/01/2012
POS,29,08/01/2012
POS,23,09/01/2012
POS,18,10/01/2012
POS,25,11/01/2012
POS,15,12/01/2012
NEG,0,12/01/2009
NEG,0,01/01/2010
NEG,0,02/01/2010
NEG,3,03/01/2010
NEG,4,04/01/2010
NEG,0,05/01/2010
NEG,4,06/01/2010
NEG,6,07/01/2010
NEG,3,08/01/2010
NEG,3,09/01/2010
NEG,3,10/01/2010
NEG,3,11/01/2010
NEG,3,12/01/2010
NEG,4,01/01/2011
NEG,3,02/01/2011
NEG,2,03/01/2011
NEG,5,04/01/2011
NEG,8,05/01/2011
NEG,5,06/01/2011
NEG,6,07/01/2011
NEG,7,08/01/2011
NEG,5,09/01/2011
NEG,7,10/01/2011
NEG,8,11/01/2011
NEG,2,12/01/2011
NEG,3,01/01/2012
NEG,1,02/01/2012
NEG,5,03/01/2012
NEG,8,04/01/2012
NEG,2,05/01/2012
NEG,4,06/01/2012
NEG,3,07/01/2012
NEG,6,08/01/2012
NEG,6,09/01/2012
NEG,9,10/01/2012
NEG,2,11/01/2012
NEG,1,12/01/2012
