key,value,date
POS,2,10/01/2009
POS,2,11/01/2009
POS,7,12/01/2009
POS,5,01/01/2010
POS,9,02/01/2010
POS,6,03/01/2010
POS,11,04/01/2010
POS,15,05/01/2010
POS,19,06/01/2010
POS,15,07/01/2010
POS,14,08/01/2010
POS,5,09/01/2010
POS,6,10/01/2010
POS,9,11/01/2010
POS,20,12/01/2010
POS,10,01/01/2011
POS,6,02/01/2011
POS,12,03/01/2011
POS,10,04/01/2011
POS,11,05/01/2011
POS,20,06/01/2011
POS,17,07/01/2011
POS,15,08/01/2011
POS,16,09/01/2011
POS,8,10/01/2011
POS,17,11/01/2011
POS,13,12/01/2011
POS,23,01/01/2012
POS,15,02/01/2012
POS,19,03/01/2012
POS,20,04/01/2012
POS,18,05/01/2012
POS,9,06/01/2012
POS,19,07/01/2012
POS,22,08/01/2012
POS,15,09/01/2012
POS,8,10/01/2012
POS,5,11/01/2012
POS,1,12/01/2012
NEG,0,10/01/2009
NEG,0,11/01/2009
NEG,0,12/01/2009
NEG,0,01/01/2010
NEG,0,02/01/2010
NEG,1,03/01/2010
NEG,0,04/01/2010
NEG,0,05/01/2010
NEG,2,06/01/2010
NEG,1,07/01/2010
NEG,2,08/01/2010
NEG,1,09/01/2010
NEG,1,10/01/2010
NEG,2,11/01/2010
NEG,1,12/01/2010
NEG,1,01/01/2011
NEG,1,02/01/2011
NEG,0,03/01/2011
NEG,2,04/01/2011
NEG,1,05/01/2011
NEG,0,06/01/2011
NEG,3,07/01/2011
NEG,2,08/01/2011
NEG,0,09/01/2011
NEG,2,10/01/2011
NEG,2,11/01/2011
NEG,1,12/01/2011
NEG,2,01/01/2012
NEG,3,02/01/2012
NEG,2,03/01/2012
NEG,2,04/01/2012
NEG,2,05/01/2012
NEG,1,06/01/2012
NEG,1,07/01/2012
NEG,5,08/01/2012
NEG,1,09/01/2012
NEG,1,10/01/2012
NEG,0,11/01/2012
NEG,0,12/01/2012
