key,value,date
POS,2,11/01/2002
POS,1,02/01/2003
POS,4,03/01/2003
POS,2,04/01/2003
POS,4,05/01/2003
POS,1,06/01/2003
POS,1,07/01/2003
POS,6,08/01/2003
POS,3,09/01/2003
POS,4,10/01/2003
POS,2,11/01/2003
POS,5,12/01/2003
POS,15,01/01/2004
POS,3,02/01/2004
POS,8,03/01/2004
POS,2,04/01/2004
POS,6,05/01/2004
POS,9,06/01/2004
POS,14,07/01/2004
POS,8,08/01/2004
POS,7,09/01/2004
POS,6,10/01/2004
POS,6,11/01/2004
POS,8,12/01/2004
POS,13,01/01/2005
POS,7,02/01/2005
POS,16,03/01/2005
POS,19,04/01/2005
POS,10,05/01/2005
POS,9,06/01/2005
POS,12,07/01/2005
POS,13,08/01/2005
POS,12,09/01/2005
POS,11,10/01/2005
POS,10,11/01/2005
POS,11,12/01/2005
POS,18,01/01/2006
POS,15,02/01/2006
POS,19,03/01/2006
POS,14,04/01/2006
POS,12,05/01/2006
POS,7,06/01/2006
POS,11,07/01/2006
POS,9,08/01/2006
POS,7,09/01/2006
POS,8,10/01/2006
POS,7,11/01/2006
POS,12,12/01/2006
POS,13,01/01/2007
POS,11,02/01/2007
POS,15,03/01/2007
POS,13,04/01/2007
POS,17,05/01/2007
POS,11,06/01/2007
POS,18,07/01/2007
POS,14,08/01/2007
POS,13,09/01/2007
POS,16,10/01/2007
POS,13,11/01/2007
POS,11,12/01/2007
POS,21,01/01/2008
POS,18,02/01/2008
POS,13,03/01/2008
POS,20,04/01/2008
POS,20,05/01/2008
POS,17,06/01/2008
POS,22,07/01/2008
POS,18,08/01/2008
POS,10,09/01/2008
POS,16,10/01/2008
POS,10,11/01/2008
POS,9,12/01/2008
POS,16,01/01/2009
POS,8,02/01/2009
POS,14,03/01/2009
POS,14,04/01/2009
POS,17,05/01/2009
POS,11,06/01/2009
POS,21,07/01/2009
POS,17,08/01/2009
POS,18,09/01/2009
POS,25,10/01/2009
POS,31,11/01/2009
POS,25,12/01/2009
POS,20,01/01/2010
POS,27,02/01/2010
POS,29,03/01/2010
POS,26,04/01/2010
POS,15,05/01/2010
POS,32,06/01/2010
POS,26,07/01/2010
POS,27,08/01/2010
POS,25,09/01/2010
POS,42,10/01/2010
POS,29,11/01/2010
POS,18,12/01/2010
POS,30,01/01/2011
POS,23,02/01/2011
POS,40,03/01/2011
POS,32,04/01/2011
POS,29,05/01/2011
POS,35,06/01/2011
POS,42,07/01/2011
