label,count,month
POS,3,04/01/2010
POS,17,05/01/2010
POS,14,06/01/2010
POS,22,07/01/2010
POS,26,08/01/2010
POS,22,09/01/2010
POS,19,10/01/2010
POS,14,11/01/2010
POS,23,12/01/2010
POS,38,01/01/2011
POS,24,02/01/2011
POS,21,03/01/2011
POS,23,04/01/2011
POS,29,05/01/2011
POS,35,06/01/2011
POS,41,07/01/2011
POS,43,08/01/2011
POS,39,09/01/2011
POS,28,10/01/2011
POS,32,11/01/2011
POS,18,12/01/2011
POS,44,01/01/2012
POS,45,02/01/2012
POS,42,03/01/2012
POS,46,04/01/2012
POS,31,05/01/2012
POS,32,06/01/2012
POS,48,07/01/2012
POS,47,08/01/2012
POS,41,09/01/2012
POS,26,10/01/2012
POS,21,11/01/2012
POS,15,12/01/2012
NEG,1,04/01/2010
NEG,3,05/01/2010
NEG,1,06/01/2010
NEG,3,07/01/2010
NEG,4,08/01/2010
NEG,3,09/01/2010
NEG,2,10/01/2010
NEG,1,11/01/2010
NEG,2,12/01/2010
NEG,10,01/01/2011
NEG,4,02/01/2011
NEG,3,03/01/2011
NEG,5,04/01/2011
NEG,9,05/01/2011
NEG,10,06/01/2011
NEG,7,07/01/2011
NEG,5,08/01/2011
NEG,8,09/01/2011
NEG,4,10/01/2011
NEG,3,11/01/2011
NEG,5,12/01/2011
NEG,10,01/01/2012
NEG,6,02/01/2012
NEG,6,03/01/2012
NEG,4,04/01/2012
NEG,2,05/01/2012
NEG,2,06/01/2012
NEG,8,07/01/2012
NEG,6,08/01/2012
NEG,6,09/01/2012
NEG,4,10/01/2012
NEG,2,11/01/2012
NEG,0,12/01/2012
