key,value,date
POS,1,01/01/2002
POS,1,10/01/2002
POS,2,01/01/2003
POS,1,02/01/2003
POS,0,05/01/2003
POS,1,06/01/2003
POS,1,07/01/2003
POS,2,08/01/2003
POS,1,09/01/2003
POS,0,10/01/2003
POS,1,11/01/2003
POS,1,12/01/2003
POS,4,01/01/2004
POS,0,02/01/2004
POS,3,03/01/2004
POS,3,04/01/2004
POS,1,05/01/2004
POS,3,06/01/2004
POS,2,07/01/2004
POS,1,08/01/2004
POS,0,09/01/2004
POS,1,10/01/2004
POS,4,11/01/2004
POS,2,12/01/2004
POS,3,01/01/2005
POS,5,02/01/2005
POS,5,03/01/2005
POS,3,04/01/2005
POS,10,05/01/2005
POS,6,06/01/2005
POS,8,07/01/2005
POS,2,08/01/2005
POS,2,09/01/2005
POS,2,10/01/2005
POS,7,11/01/2005
POS,3,12/01/2005
POS,6,01/01/2006
POS,4,02/01/2006
POS,2,03/01/2006
POS,5,04/01/2006
POS,5,05/01/2006
POS,3,06/01/2006
POS,6,07/01/2006
POS,6,08/01/2006
POS,3,09/01/2006
POS,6,10/01/2006
POS,6,11/01/2006
POS,7,12/01/2006
POS,7,01/01/2007
POS,11,02/01/2007
POS,8,03/01/2007
POS,2,04/01/2007
POS,7,05/01/2007
POS,6,06/01/2007
POS,2,07/01/2007
POS,6,08/01/2007
POS,7,09/01/2007
POS,0,10/01/2007
POS,8,11/01/2007
POS,8,12/01/2007
POS,10,01/01/2008
POS,8,02/01/2008
POS,7,03/01/2008
POS,5,04/01/2008
POS,4,05/01/2008
POS,6,06/01/2008
POS,8,07/01/2008
POS,5,08/01/2008
POS,4,09/01/2008
POS,5,10/01/2008
POS,6,11/01/2008
POS,3,12/01/2008
POS,11,01/01/2009
POS,8,02/01/2009
POS,3,03/01/2009
POS,10,04/01/2009
POS,8,05/01/2009
POS,8,06/01/2009
POS,12,07/01/2009
POS,8,08/01/2009
POS,5,09/01/2009
POS,12,10/01/2009
POS,18,11/01/2009
POS,16,12/01/2009
POS,17,01/01/2010
POS,15,02/01/2010
POS,11,03/01/2010
POS,11,04/01/2010
POS,10,05/01/2010
POS,32,06/01/2010
POS,22,07/01/2010
POS,42,08/01/2010
POS,41,09/01/2010
POS,41,10/01/2010
POS,28,11/01/2010
POS,41,12/01/2010
POS,22,01/01/2011
POS,18,02/01/2011
POS,20,03/01/2011
POS,18,04/01/2011
POS,18,05/01/2011
POS,33,06/01/2011
POS,38,07/01/2011
POS,35,08/01/2011
POS,25,09/01/2011
POS,48,10/01/2011
POS,41,11/01/2011
POS,43,12/01/2011
POS,39,01/01/2012
POS,32,02/01/2012
POS,32,03/01/2012
POS,33,04/01/2012
POS,27,05/01/2012
POS,20,06/01/2012
POS,39,07/01/2012
POS,28,08/01/2012
POS,18,09/01/2012
POS,30,10/01/2012
POS,35,11/01/2012
POS,19,12/01/2012
NEG,0,01/01/2002
NEG,0,10/01/2002
NEG,0,01/01/2003
NEG,0,02/01/2003
