label,count,month
POS,5,08/01/2010
POS,9,09/01/2010
POS,7,10/01/2010
POS,9,11/01/2010
POS,4,12/01/2010
POS,3,01/01/2011
POS,5,02/01/2011
POS,9,03/01/2011
POS,17,04/01/2011
POS,10,05/01/2011
POS,14,06/01/2011
POS,10,07/01/2011
POS,7,08/01/2011
POS,15,09/01/2011
POS,8,10/01/2011
POS,8,11/01/2011
POS,7,12/01/2011
POS,14,01/01/2012
POS,9,02/01/2012
POS,12,03/01/2012
POS,12,04/01/2012
POS,12,05/01/2012
POS,14,06/01/2012
POS,13,07/01/2012
POS,13,08/01/2012
POS,17,09/01/2012
POS,12,10/01/2012
POS,12,11/01/2012
POS,2,12/01/2012
NEG,1,08/01/2010
NEG,1,09/01/2010
NEG,2,10/01/2010
NEG,2,11/01/2010
NEG,1,12/01/2010
NEG,0,01/01/2011
NEG,1,02/01/2011
NEG,3,03/01/2011
NEG,5,04/01/2011
NEG,3,05/01/2011
NEG,1,06/01/2011
NEG,2,07/01/2011
NEG,6,08/01/2011
NEG,5,09/01/2011
NEG,3,10/01/2011
NEG,4,11/01/2011
NEG,3,12/01/2011
NEG,5,01/01/2012
NEG,4,02/01/2012
NEG,4,03/01/2012
NEG,2,04/01/2012
NEG,1,05/01/2012
NEG,1,06/01/2012
NEG,1,07/01/2012
NEG,0,08/01/2012
NEG,3,09/01/2012
NEG,1,10/01/2012
NEG,1,11/01/2012
NEG,1,12/01/2012
