label,count,month
POS,0,01/01/2002
POS,0,05/01/2002
POS,0,08/01/2002
POS,1,09/01/2002
POS,1,11/01/2002
POS,0,12/01/2002
POS,1,01/01/2003
POS,2,02/01/2003
POS,0,03/01/2003
POS,2,05/01/2003
POS,1,06/01/2003
POS,2,07/01/2003
POS,1,09/01/2003
POS,1,10/01/2003
POS,3,11/01/2003
POS,5,12/01/2003
POS,4,01/01/2004
POS,2,02/01/2004
POS,5,03/01/2004
POS,6,04/01/2004
POS,3,05/01/2004
POS,5,06/01/2004
POS,3,07/01/2004
POS,4,08/01/2004
POS,0,09/01/2004
POS,5,10/01/2004
POS,6,11/01/2004
POS,6,12/01/2004
POS,5,01/01/2005
POS,11,02/01/2005
POS,11,03/01/2005
POS,5,04/01/2005
POS,7,05/01/2005
POS,7,06/01/2005
POS,2,07/01/2005
POS,1,08/01/2005
POS,3,09/01/2005
POS,6,10/01/2005
POS,5,11/01/2005
POS,4,12/01/2005
POS,11,01/01/2006
POS,5,02/01/2006
POS,6,03/01/2006
POS,9,04/01/2006
POS,7,05/01/2006
POS,4,06/01/2006
POS,5,07/01/2006
POS,4,08/01/2006
POS,4,09/01/2006
POS,4,10/01/2006
POS,6,11/01/2006
POS,7,12/01/2006
POS,5,01/01/2007
POS,6,02/01/2007
POS,10,03/01/2007
POS,16,04/01/2007
POS,11,05/01/2007
POS,12,06/01/2007
POS,4,07/01/2007
POS,9,08/01/2007
POS,9,09/01/2007
POS,12,10/01/2007
POS,9,11/01/2007
POS,21,12/01/2007
POS,18,01/01/2008
POS,15,02/01/2008
POS,14,03/01/2008
POS,13,04/01/2008
POS,13,05/01/2008
POS,10,06/01/2008
POS,9,07/01/2008
POS,3,08/01/2008
POS,14,09/01/2008
POS,15,10/01/2008
POS,12,11/01/2008
POS,19,12/01/2008
POS,18,01/01/2009
POS,11,02/01/2009
POS,15,03/01/2009
POS,23,04/01/2009
POS,25,05/01/2009
POS,17,06/01/2009
POS,14,07/01/2009
POS,19,08/01/2009
POS,12,09/01/2009
POS,21,10/01/2009
POS,15,11/01/2009
POS,22,12/01/2009
POS,17,01/01/2010
POS,13,02/01/2010
POS,20,03/01/2010
POS,19,04/01/2010
POS,16,05/01/2010
POS,19,06/01/2010
POS,14,07/01/2010
POS,22,08/01/2010
POS,17,09/01/2010
POS,18,10/01/2010
POS,12,11/01/2010
POS,18,12/01/2010
POS,21,01/01/2011
POS,14,02/01/2011
POS,36,03/01/2011
POS,17,04/01/2011
POS,17,05/01/2011
POS,17,06/01/2011
POS,18,07/01/2011
POS,32,08/01/2011
POS,25,09/01/2011
POS,29,10/01/2011
POS,37,11/01/2011
POS,32,12/01/2011
POS,54,01/01/2012
POS,26,02/01/2012
POS,42,03/01/2012
POS,32,04/01/2012
POS,39,05/01/2012
POS,36,06/01/2012
POS,58,07/01/2012
POS,42,08/01/2012
POS,33,09/01/2012
POS,38,10/01/2012
POS,38,11/01/2012
POS,20,12/01/2012
NEG,1,01/01/2002
NEG,1,05/01/2002
NEG,1,08/01/2002
NEG,0,09/01/2002
NEG,0,11/01/2002
NEG,3,12/01/2002
NEG,0,01/01/2003
NEG,0,02/01/2003
NEG,1,03/01/2003
NEG,1,05/01/2003
NEG,0,06/01/2003
NEG,0,07/01/2003
NEG,0,09/01/2003
NEG,1,10/01/2003
NEG,1,11/01/2003
NEG,2,12/01/2003
NEG,1,01/01/2004
NEG,0,02/01/2004
NEG,2,03/01/2004
NEG,1,04/01/2004
NEG,0,05/01/2004
NEG,2,06/01/2004
NEG,2,07/01/2004
NEG,2,08/01/2004
NEG,3,09/01/2004
NEG,3,10/01/2004
NEG,3,11/01/2004
NEG,3,12/01/2004
NEG,4,01/01/2005
NEG,2,02/01/2005
NEG,4,03/01/2005
NEG,4,04/01/2005
NEG,2,05/01/2005
NEG,3,06/01/2005
NEG,0,07/01/2005
NEG,4,08/01/2005
NEG,1,09/01/2005
NEG,1,10/01/2005
NEG,1,11/01/2005
NEG,7,12/01/2005
NEG,4,01/01/2006
