key,value,date
POS,2,11/01/2008
POS,5,12/01/2008
POS,1,01/01/2009
POS,3,02/01/2009
POS,1,03/01/2009
POS,6,04/01/2009
POS,3,05/01/2009
POS,4,06/01/2009
POS,1,07/01/2009
POS,4,08/01/2009
POS,4,09/01/2009
POS,5,10/01/2009
POS,6,12/01/2009
POS,5,01/01/2010
POS,5,02/01/2010
POS,2,03/01/2010
POS,8,04/01/2010
POS,6,05/01/2010
POS,6,06/01/2010
POS,5,07/01/2010
POS,4,08/01/2010
POS,6,09/01/2010
POS,7,10/01/2010
POS,3,11/01/2010
POS,5,12/01/2010
POS,4,01/01/2011
POS,4,02/01/2011
POS,1,03/01/2011
POS,2,04/01/2011
POS,7,05/01/2011
POS,16,06/01/2011
POS,14,07/01/2011
POS,10,08/01/2011
POS,11,09/01/2011
POS,6,10/01/2011
POS,9,11/01/2011
POS,4,12/01/2011
POS,6,01/01/2012
POS,7,02/01/2012
POS,3,03/01/2012
POS,9,04/01/2012
POS,6,05/01/2012
POS,6,06/01/2012
POS,12,07/01/2012
POS,6,08/01/2012
POS,8,09/01/2012
POS,10,10/01/2012
POS,5,11/01/2012
POS,8,12/01/2012
NEG,2,11/01/2008
NEG,0,12/01/2008
NEG,3,01/01/2009
NEG,2,02/01/2009
NEG,1,03/01/2009
NEG,1,04/01/2009
NEG,2,05/01/2009
NEG,0,06/01/2009
NEG,3,07/01/2009
NEG,4,08/01/2009
NEG,3,09/01/2009
NEG,1,10/01/2009
NEG,1,12/01/2009
NEG,5,01/01/2010
NEG,0,02/01/2010
NEG,3,03/01/2010
NEG,3,04/01/2010
NEG,4,05/01/2010
NEG,1,06/01/2010
NEG,5,07/01/2010
NEG,3,08/01/2010
NEG,4,09/01/2010
NEG,2,10/01/2010
NEG,0,11/01/2010
NEG,1,12/01/2010
NEG,3,01/01/2011
NEG,1,02/01/2011
NEG,0,03/01/2011
NEG,2,04/01/2011
NEG,2,05/01/2011
NEG,1,06/01/2011
NEG,0,07/01/2011
NEG,4,08/01/2011
NEG,2,09/01/2011
NEG,0,10/01/2011
NEG,1,11/01/2011
NEG,1,12/01/2011
NEG,3,01/01/2012
NEG,2,02/01/2012
NEG,0,03/01/2012
NEG,4,04/01/2012
NEG,2,05/01/2012
NEG,0,06/01/2012
NEG,6,07/01/2012
NEG,2,08/01/2012
NEG,3,09/01/2012
NEG,4,10/01/2012
NEG,6,11/01/2012
NEG,2,12/01/2012
