key,value,date
POS,39,06/01/2011
POS,66,07/01/2011
POS,73,08/01/2011
POS,69,09/01/2011
POS,74,10/01/2011
POS,115,11/01/2011
POS,100,12/01/2011
POS,96,01/01/2012
POS,90,02/01/2012
POS,101,03/01/2012
POS,106,04/01/2012
POS,92,05/01/2012
POS,84,06/01/2012
POS,130,07/01/2012
POS,142,08/01/2012
POS,110,09/01/2012
POS,90,10/01/2012
POS,119,11/01/2012
POS,64,12/01/2012
NEG,13,06/01/2011
NEG,34,07/01/2011
NEG,29,08/01/2011
NEG,21,09/01/2011
NEG,36,10/01/2011
NEG,29,11/01/2011
NEG,20,12/01/2011
NEG,27,01/01/2012
NEG,16,02/01/2012
NEG,24,03/01/2012
NEG,29,04/01/2012
NEG,30,05/01/2012
NEG,24,06/01/2012
NEG,34,07/01/2012
NEG,30,08/01/2012
NEG,37,09/01/2012
NEG,42,10/01/2012
NEG,37,11/01/2012
NEG,17,12/01/2012
