key,value,date
POS,1,05/01/2003
POS,0,06/01/2003
POS,1,07/01/2003
POS,2,08/01/2003
POS,3,09/01/2003
POS,1,10/01/2003
POS,1,11/01/2003
POS,4,12/01/2003
POS,3,01/01/2004
POS,3,02/01/2004
POS,2,03/01/2004
POS,4,04/01/2004
POS,6,05/01/2004
POS,4,06/01/2004
POS,3,07/01/2004
POS,3,08/01/2004
POS,3,09/01/2004
POS,2,10/01/2004
POS,1,11/01/2004
POS,2,12/01/2004
POS,6,01/01/2005
POS,5,02/01/2005
POS,9,03/01/2005
POS,9,04/01/2005
POS,8,05/01/2005
POS,12,06/01/2005
POS,5,07/01/2005
POS,9,08/01/2005
POS,7,09/01/2005
POS,8,10/01/2005
POS,7,11/01/2005
POS,1,12/01/2005
POS,7,01/01/2006
POS,2,02/01/2006
POS,2,03/01/2006
POS,9,04/01/2006
POS,11,05/01/2006
POS,5,06/01/2006
POS,11,07/01/2006
POS,6,08/01/2006
POS,5,09/01/2006
POS,7,10/01/2006
POS,6,11/01/2006
POS,9,12/01/2006
POS,7,01/01/2007
POS,4,02/01/2007
POS,7,03/01/2007
POS,6,04/01/2007
POS,9,05/01/2007
POS,5,06/01/2007
POS,5,07/01/2007
POS,4,08/01/2007
POS,4,09/01/2007
POS,7,10/01/2007
POS,6,11/01/2007
POS,10,12/01/2007
POS,7,01/01/2008
POS,13,02/01/2008
POS,9,03/01/2008
POS,10,04/01/2008
POS,8,05/01/2008
POS,20,06/01/2008
POS,7,07/01/2008
POS,2,08/01/2008
POS,5,09/01/2008
POS,10,10/01/2008
POS,7,11/01/2008
POS,6,12/01/2008
POS,7,01/01/2009
POS,5,02/01/2009
POS,2,03/01/2009
POS,7,04/01/2009
POS,9,05/01/2009
POS,14,06/01/2009
POS,8,07/01/2009
POS,4,08/01/2009
POS,7,09/01/2009
POS,10,10/01/2009
POS,5,11/01/2009
POS,4,12/01/2009
POS,1,01/01/2010
POS,4,02/01/2010
POS,3,03/01/2010
POS,5,04/01/2010
POS,3,05/01/2010
POS,1,06/01/2010
POS,11,07/01/2010
POS,4,08/01/2010
POS,1,09/01/2010
POS,3,10/01/2010
POS,3,11/01/2010
POS,6,12/01/2010
POS,9,01/01/2011
POS,2,02/01/2011
POS,4,03/01/2011
POS,7,04/01/2011
POS,5,05/01/2011
POS,7,06/01/2011
POS,10,07/01/2011
POS,8,08/01/2011
POS,14,09/01/2011
POS,7,10/01/2011
POS,12,11/01/2011
POS,10,12/01/2011
POS,5,01/01/2012
POS,4,02/01/2012
POS,2,03/01/2012
POS,14,04/01/2012
POS,14,05/01/2012
POS,11,06/01/2012
POS,13,07/01/2012
POS,14,08/01/2012
POS,14,09/01/2012
POS,21,10/01/2012
POS,31,11/01/2012
POS,6,12/01/2012
NEG,0,05/01/2003
NEG,1,06/01/2003
NEG,0,07/01/2003
NEG,0,08/01/2003
NEG,0,09/01/2003
NEG,1,10/01/2003
NEG,0,11/01/2003
NEG,1,12/01/2003
NEG,2,01/01/2004
NEG,0,02/01/2004
NEG,0,03/01/2004
NEG,0,04/01/2004
NEG,1,05/01/2004
NEG,2,06/01/2004
NEG,0,07/01/2004
NEG,0,08/01/2004
NEG,0,09/01/2004
NEG,1,10/01/2004
NEG,0,11/01/2004
NEG,0,12/01/2004
NEG,0,01/01/2005
NEG,0,02/01/2005
NEG,1,03/01/2005
NEG,1,04/01/2005
NEG,2,05/01/2005
NEG,2,06/01/2005
NEG,0,07/01/2005
NEG,2,08/01/2005
NEG,1,09/01/2005
NEG,3,10/01/2005
NEG,1,11/01/2005
NEG,1,12/01/2005
NEG,0,01/01/2006
NEG,0,02/01/2006
NEG,1,03/01/2006
NEG,0,04/01/2006
NEG,1,05/01/2006
NEG,2,06/01/2006
NEG,1,07/01/2006
NEG,0,08/01/2006
NEG,2,09/01/2006
NEG,1,10/01/2006
NEG,0,11/01/2006
NEG,1,12/01/2006
NEG,0,01/01/2007
NEG,4,02/01/2007
NEG,1,03/01/2007
NEG,2,04/01/2007
NEG,0,05/01/2007
NEG,0,06/01/2007
NEG,2,07/01/2007
NEG,3,08/01/2007
NEG,1,09/01/2007
NEG,0,10/01/2007
NEG,1,11/01/2007
NEG,1,12/01/2007
NEG,4,01/01/2008
NEG,1,02/01/2008
NEG,0,03/01/2008
NEG,4,04/01/2008
NEG,3,05/01/2008
NEG,2,06/01/2008
NEG,1,07/01/2008
NEG,4,08/01/2008
NEG,2,09/01/2008
NEG,4,10/01/2008
NEG,3,11/01/2008
NEG,0,12/01/2008
NEG,5,01/01/2009
NEG,1,02/01/2009
NEG,1,03/01/2009
NEG,1,04/01/2009
NEG,3,05/01/2009
NEG,4,06/01/2009
NEG,2,07/01/2009
NEG,2,08/01/2009
