key,value,date
POS,6,09/01/2009
POS,9,10/01/2009
POS,9,11/01/2009
POS,11,12/01/2009
POS,6,01/01/2010
POS,16,02/01/2010
POS,23,03/01/2010
POS,17,04/01/2010
POS,20,05/01/2010
POS,16,06/01/2010
POS,12,07/01/2010
POS,18,08/01/2010
POS,18,09/01/2010
POS,13,10/01/2010
POS,16,11/01/2010
POS,11,12/01/2010
POS,16,01/01/2011
POS,15,02/01/2011
POS,10,03/01/2011
POS,6,04/01/2011
POS,12,05/01/2011
POS,17,06/01/2011
POS,22,07/01/2011
POS,22,08/01/2011
POS,22,09/01/2011
POS,17,10/01/2011
POS,25,11/01/2011
POS,20,12/01/2011
POS,24,01/01/2012
POS,25,02/01/2012
POS,22,03/01/2012
POS,48,04/01/2012
POS,28,05/01/2012
POS,25,06/01/2012
POS,21,07/01/2012
POS,30,08/01/2012
POS,20,09/01/2012
POS,22,10/01/2012
POS,19,11/01/2012
POS,14,12/01/2012
NEG,3,09/01/2009
NEG,14,10/01/2009
NEG,6,11/01/2009
NEG,8,12/01/2009
NEG,5,01/01/2010
NEG,7,02/01/2010
NEG,10,03/01/2010
NEG,5,04/01/2010
NEG,6,05/01/2010
NEG,13,06/01/2010
NEG,6,07/01/2010
NEG,9,08/01/2010
NEG,9,09/01/2010
NEG,6,10/01/2010
NEG,3,11/01/2010
NEG,10,12/01/2010
NEG,9,01/01/2011
NEG,8,02/01/2011
NEG,5,03/01/2011
NEG,13,04/01/2011
NEG,11,05/01/2011
NEG,17,06/01/2011
NEG,18,07/01/2011
NEG,15,08/01/2011
NEG,12,09/01/2011
NEG,13,10/01/2011
NEG,23,11/01/2011
NEG,10,12/01/2011
NEG,18,01/01/2012
NEG,7,02/01/2012
NEG,7,03/01/2012
NEG,13,04/01/2012
NEG,14,05/01/2012
NEG,17,06/01/2012
NEG,17,07/01/2012
NEG,15,08/01/2012
NEG,13,09/01/2012
NEG,14,10/01/2012
NEG,12,11/01/2012
NEG,5,12/01/2012
