label,count,month
POS,4,10/01/2009
POS,12,11/01/2009
POS,4,12/01/2009
POS,16,01/01/2010
POS,11,02/01/2010
POS,11,03/01/2010
POS,13,04/01/2010
POS,7,05/01/2010
POS,13,06/01/2010
POS,18,07/01/2010
POS,16,08/01/2010
POS,7,09/01/2010
POS,11,10/01/2010
POS,10,11/01/2010
POS,8,12/01/2010
POS,11,01/01/2011
POS,10,02/01/2011
POS,15,03/01/2011
POS,8,04/01/2011
POS,17,05/01/2011
POS,21,06/01/2011
POS,40,07/01/2011
POS,28,08/01/2011
POS,32,09/01/2011
POS,24,10/01/2011
POS,14,11/01/2011
POS,23,12/01/2011
POS,42,01/01/2012
POS,37,02/01/2012
POS,28,03/01/2012
POS,25,04/01/2012
POS,33,05/01/2012
POS,22,06/01/2012
POS,42,07/01/2012
POS,33,08/01/2012
POS,33,09/01/2012
POS,25,10/01/2012
POS,42,11/01/2012
POS,22,12/01/2012
NEG,0,10/01/2009
NEG,0,11/01/2009
NEG,1,12/01/2009
NEG,0,01/01/2010
NEG,0,02/01/2010
NEG,0,03/01/2010
NEG,3,04/01/2010
NEG,1,05/01/2010
NEG,2,06/01/2010
NEG,1,07/01/2010
NEG,0,08/01/2010
NEG,4,09/01/2010
NEG,1,10/01/2010
NEG,2,11/01/2010
NEG,2,12/01/2010
NEG,0,01/01/2011
NEG,2,02/01/2011
NEG,0,03/01/2011
NEG,0,04/01/2011
NEG,1,05/01/2011
NEG,1,06/01/2011
NEG,4,07/01/2011
NEG,4,08/01/2011
NEG,3,09/01/2011
NEG,1,10/01/2011
NEG,3,11/01/2011
NEG,2,12/01/2011
NEG,2,01/01/2012
NEG,2,02/01/2012
NEG,2,03/01/2012
NEG,3,04/01/2012
NEG,3,05/01/2012
NEG,2,06/01/2012
NEG,0,07/01/2012
NEG,3,08/01/2012
NEG,5,09/01/2012
NEG,5,10/01/2012
NEG,8,11/01/2012
NEG,2,12/01/2012
