label,count,month
POS,5,05/01/2010
POS,9,06/01/2010
POS,15,07/01/2010
POS,13,08/01/2010
POS,12,09/01/2010
POS,12,10/01/2010
POS,11,11/01/2010
POS,7,12/01/2010
POS,7,01/01/2011
POS,8,02/01/2011
POS,5,03/01/2011
POS,5,04/01/2011
POS,7,05/01/2011
POS,10,06/01/2011
POS,20,07/01/2011
POS,16,08/01/2011
POS,18,09/01/2011
POS,15,10/01/2011
POS,11,11/01/2011
POS,17,12/01/2011
POS,10,01/01/2012
POS,11,02/01/2012
POS,12,03/01/2012
POS,7,04/01/2012
POS,17,05/01/2012
POS,12,06/01/2012
POS,19,07/01/2012
POS,15,08/01/2012
POS,6,09/01/2012
POS,16,10/01/2012
POS,13,11/01/2012
POS,7,12/01/2012
NEG,3,05/01/2010
NEG,3,06/01/2010
NEG,2,07/01/2010
NEG,4,08/01/2010
NEG,3,09/01/2010
NEG,2,10/01/2010
NEG,2,11/01/2010
NEG,1,12/01/2010
NEG,2,01/01/2011
NEG,1,02/01/2011
NEG,1,03/01/2011
NEG,3,04/01/2011
NEG,2,05/01/2011
NEG,0,06/01/2011
NEG,2,07/01/2011
NEG,3,08/01/2011
NEG,1,09/01/2011
NEG,2,10/01/2011
NEG,2,11/01/2011
NEG,2,12/01/2011
NEG,0,01/01/2012
NEG,1,02/01/2012
NEG,1,03/01/2012
NEG,2,04/01/2012
NEG,1,05/01/2012
NEG,1,06/01/2012
NEG,3,07/01/2012
NEG,2,08/01/2012
NEG,4,09/01/2012
NEG,4,10/01/2012
NEG,3,11/01/2012
NEG,1,12/01/2012
