label,count,month
POS,0,06/01/2010
POS,0,07/01/2010
POS,1,08/01/2010
POS,1,09/01/2010
POS,0,10/01/2010
POS,1,11/01/2010
POS,1,12/01/2010
POS,0,01/01/2011
POS,3,02/01/2011
POS,2,03/01/2011
POS,1,05/01/2011
POS,0,06/01/2011
POS,0,07/01/2011
POS,4,08/01/2011
POS,1,09/01/2011
POS,1,10/01/2011
POS,2,11/01/2011
POS,1,12/01/2011
POS,2,01/01/2012
POS,0,02/01/2012
POS,1,03/01/2012
POS,2,04/01/2012
POS,1,05/01/2012
POS,0,06/01/2012
POS,8,07/01/2012
POS,7,08/01/2012
POS,6,09/01/2012
POS,5,10/01/2012
POS,2,11/01/2012
NEG,1,06/01/2010
NEG,1,07/01/2010
NEG,5,08/01/2010
NEG,1,09/01/2010
NEG,2,10/01/2010
NEG,2,11/01/2010
NEG,0,12/01/2010
NEG,2,01/01/2011
NEG,2,02/01/2011
NEG,1,03/01/2011
NEG,5,05/01/2011
NEG,5,06/01/2011
NEG,4,07/01/2011
NEG,5,08/01/2011
NEG,4,09/01/2011
NEG,3,10/01/2011
NEG,2,11/01/2011
NEG,1,12/01/2011
NEG,1,01/01/2012
NEG,1,02/01/2012
NEG,1,03/01/2012
NEG,4,04/01/2012
NEG,4,05/01/2012
NEG,7,06/01/2012
NEG,5,07/01/2012
NEG,12,08/01/2012
NEG,3,09/01/2012
NEG,3,10/01/2012
NEG,4,11/01/2012
