label,count,month
POS,1,01/01/2010
POS,0,02/01/2010
POS,2,03/01/2010
POS,4,04/01/2010
POS,1,07/01/2010
POS,1,10/01/2010
POS,1,11/01/2010
POS,1,12/01/2010
POS,3,01/01/2011
POS,3,02/01/2011
POS,3,03/01/2011
POS,3,04/01/2011
POS,2,05/01/2011
POS,3,06/01/2011
POS,3,07/01/2011
POS,8,09/01/2011
POS,16,10/01/2011
POS,10,11/01/2011
POS,10,12/01/2011
POS,20,01/01/2012
POS,23,02/01/2012
POS,22,03/01/2012
POS,19,04/01/2012
POS,9,05/01/2012
POS,14,06/01/2012
POS,8,07/01/2012
POS,8,08/01/2012
POS,9,09/01/2012
POS,17,10/01/2012
POS,13,11/01/2012
POS,5,12/01/2012
NEG,0,01/01/2010
NEG,1,02/01/2010
NEG,0,03/01/2010
NEG,0,04/01/2010
NEG,0,07/01/2010
NEG,0,10/01/2010
NEG,1,11/01/2010
NEG,0,12/01/2010
NEG,0,01/01/2011
NEG,0,02/01/2011
NEG,0,03/01/2011
NEG,1,04/01/2011
NEG,0,05/01/2011
NEG,0,06/01/2011
NEG,3,07/01/2011
NEG,1,09/01/2011
NEG,0,10/01/2011
NEG,1,11/01/2011
NEG,2,12/01/2011
NEG,0,01/01/2012
NEG,3,02/01/2012
NEG,2,03/01/2012
NEG,0,04/01/2012
NEG,3,05/01/2012
NEG,2,06/01/2012
NEG,4,07/01/2012
NEG,4,08/01/2012
NEG,2,09/01/2012
NEG,3,10/01/2012
NEG,2,11/01/2012
NEG,0,12/01/2012
