label,count,month
POS,1,11/01/2007
POS,4,12/01/2007
POS,1,02/01/2008
POS,9,03/01/2008
POS,6,04/01/2008
POS,5,05/01/2008
POS,7,06/01/2008
POS,7,07/01/2008
POS,5,08/01/2008
POS,3,09/01/2008
POS,2,10/01/2008
POS,3,11/01/2008
POS,1,12/01/2008
POS,2,01/01/2009
POS,1,02/01/2009
POS,7,03/01/2009
POS,18,04/01/2009
POS,3,05/01/2009
POS,7,06/01/2009
POS,16,07/01/2009
POS,10,08/01/2009
POS,5,09/01/2009
POS,5,10/01/2009
POS,4,11/01/2009
POS,2,12/01/2009
POS,2,01/01/2010
POS,6,02/01/2010
POS,12,03/01/2010
POS,16,04/01/2010
POS,4,05/01/2010
POS,13,06/01/2010
POS,20,07/01/2010
POS,10,08/01/2010
POS,9,09/01/2010
POS,8,10/01/2010
POS,6,11/01/2010
POS,3,12/01/2010
POS,10,01/01/2011
POS,11,02/01/2011
POS,30,03/01/2011
POS,19,04/01/2011
POS,12,05/01/2011
POS,23,06/01/2011
POS,33,07/01/2011
POS,24,08/01/2011
POS,23,09/01/2011
POS,9,10/01/2011
POS,5,11/01/2011
POS,5,12/01/2011
POS,14,01/01/2012
POS,17,02/01/2012
POS,35,03/01/2012
POS,47,04/01/2012
POS,19,05/01/2012
POS,16,06/01/2012
POS,38,07/01/2012
POS,26,08/01/2012
POS,23,09/01/2012
POS,12,10/01/2012
POS,14,11/01/2012
POS,1,12/01/2012
NEG,0,11/01/2007
NEG,1,12/01/2007
NEG,0,02/01/2008
NEG,2,03/01/2008
NEG,1,04/01/2008
NEG,1,05/01/2008
NEG,0,06/01/2008
NEG,0,07/01/2008
NEG,1,08/01/2008
NEG,3,09/01/2008
NEG,3,10/01/2008
NEG,0,11/01/2008
NEG,0,12/01/2008
NEG,0,01/01/2009
NEG,0,02/01/2009
NEG,4,03/01/2009
NEG,0,04/01/2009
NEG,1,05/01/2009
NEG,2,06/01/2009
NEG,1,07/01/2009
NEG,3,08/01/2009
NEG,0,09/01/2009
NEG,0,10/01/2009
NEG,2,11/01/2009
NEG,0,12/01/2009
NEG,1,01/01/2010
NEG,1,02/01/2010
NEG,1,03/01/2010
NEG,4,04/01/2010
NEG,0,05/01/2010
NEG,5,06/01/2010
NEG,2,07/01/2010
NEG,7,08/01/2010
NEG,3,09/01/2010
NEG,2,10/01/2010
NEG,0,11/01/2010
NEG,1,12/01/2010
NEG,3,01/01/2011
NEG,0,02/01/2011
NEG,6,03/01/2011
NEG,0,04/01/2011
NEG,0,05/01/2011
NEG,8,06/01/2011
NEG,8,07/01/2011
NEG,4,08/01/2011
NEG,6,09/01/2011
NEG,5,10/01/2011
NEG,0,11/01/2011
NEG,1,12/01/2011
NEG,0,01/01/2012
NEG,2,02/01/2012
NEG,8,03/01/2012
NEG,16,04/01/2012
NEG,5,05/01/2012
NEG,5,06/01/2012
NEG,11,07/01/2012
NEG,5,08/01/2012
NEG,2,09/01/2012
NEG,5,10/01/2012
NEG,1,11/01/2012
NEG,0,12/01/2012
