label,count,month
POS,1,12/01/2008
POS,10,01/01/2009
POS,2,02/01/2009
POS,5,03/01/2009
POS,3,04/01/2009
POS,2,05/01/2009
POS,0,06/01/2009
POS,0,09/01/2009
POS,3,10/01/2009
POS,1,11/01/2009
POS,1,12/01/2009
POS,4,01/01/2010
POS,5,02/01/2010
POS,5,03/01/2010
POS,4,04/01/2010
POS,4,05/01/2010
POS,1,06/01/2010
POS,1,07/01/2010
POS,1,08/01/2010
POS,0,09/01/2010
POS,1,10/01/2010
POS,3,11/01/2010
POS,1,12/01/2010
POS,5,01/01/2011
POS,2,02/01/2011
POS,3,03/01/2011
POS,6,04/01/2011
POS,2,05/01/2011
POS,3,06/01/2011
POS,0,07/01/2011
POS,3,08/01/2011
POS,4,09/01/2011
POS,5,10/01/2011
POS,2,11/01/2011
POS,4,12/01/2011
POS,16,01/01/2012
POS,13,02/01/2012
POS,21,03/01/2012
POS,20,04/01/2012
POS,6,05/01/2012
POS,11,06/01/2012
POS,16,07/01/2012
POS,4,08/01/2012
POS,8,09/01/2012
POS,11,10/01/2012
POS,11,11/01/2012
POS,2,12/01/2012
NEG,0,12/01/2008
NEG,1,01/01/2009
NEG,1,02/01/2009
NEG,0,03/01/2009
NEG,0,04/01/2009
NEG,0,05/01/2009
NEG,1,06/01/2009
NEG,1,09/01/2009
NEG,0,10/01/2009
NEG,0,11/01/2009
NEG,0,12/01/2009
NEG,0,01/01/2010
NEG,0,02/01/2010
NEG,1,03/01/2010
NEG,0,04/01/2010
NEG,0,05/01/2010
NEG,0,06/01/2010
NEG,1,07/01/2010
NEG,0,08/01/2010
NEG,1,09/01/2010
NEG,0,10/01/2010
NEG,0,11/01/2010
NEG,0,12/01/2010
NEG,0,01/01/2011
NEG,0,02/01/2011
NEG,1,03/01/2011
NEG,3,04/01/2011
NEG,0,05/01/2011
NEG,2,06/01/2011
NEG,1,07/01/2011
NEG,1,08/01/2011
NEG,2,09/01/2011
NEG,2,10/01/2011
NEG,0,11/01/2011
NEG,0,12/01/2011
NEG,2,01/01/2012
NEG,2,02/01/2012
NEG,1,03/01/2012
NEG,3,04/01/2012
NEG,0,05/01/2012
NEG,0,06/01/2012
NEG,0,07/01/2012
NEG,0,08/01/2012
NEG,1,09/01/2012
NEG,0,10/01/2012
NEG,0,11/01/2012
NEG,0,12/01/2012
