label,count,month
POS,1,12/01/2001
POS,1,11/01/2002
POS,1,01/01/2003
POS,2,03/01/2003
POS,2,04/01/2003
POS,1,05/01/2003
POS,2,06/01/2003
POS,4,07/01/2003
POS,1,08/01/2003
POS,1,09/01/2003
POS,3,10/01/2003
POS,1,11/01/2003
POS,1,01/01/2004
POS,3,02/01/2004
POS,1,03/01/2004
POS,4,04/01/2004
POS,5,05/01/2004
POS,5,06/01/2004
POS,2,07/01/2004
POS,5,08/01/2004
POS,2,09/01/2004
POS,1,10/01/2004
POS,1,11/01/2004
POS,2,12/01/2004
POS,4,01/01/2005
POS,5,02/01/2005
POS,6,03/01/2005
POS,2,04/01/2005
POS,3,05/01/2005
POS,4,06/01/2005
POS,2,07/01/2005
POS,2,08/01/2005
POS,3,09/01/2005
POS,6,10/01/2005
POS,3,11/01/2005
POS,4,01/01/2006
POS,4,02/01/2006
POS,4,03/01/2006
POS,10,04/01/2006
POS,7,05/01/2006
POS,5,06/01/2006
POS,1,07/01/2006
POS,5,08/01/2006
POS,1,09/01/2006
POS,2,10/01/2006
POS,2,11/01/2006
POS,2,12/01/2006
POS,3,01/01/2007
POS,1,02/01/2007
POS,8,03/01/2007
POS,13,04/01/2007
POS,3,05/01/2007
POS,5,06/01/2007
POS,2,07/01/2007
POS,3,08/01/2007
POS,3,09/01/2007
POS,3,10/01/2007
POS,1,11/01/2007
POS,6,12/01/2007
POS,5,01/01/2008
POS,3,02/01/2008
POS,7,03/01/2008
POS,3,04/01/2008
POS,5,05/01/2008
POS,4,06/01/2008
POS,3,07/01/2008
POS,2,08/01/2008
POS,2,09/01/2008
POS,2,10/01/2008
POS,4,11/01/2008
POS,3,12/01/2008
POS,2,01/01/2009
POS,4,02/01/2009
POS,6,03/01/2009
POS,14,04/01/2009
POS,5,05/01/2009
POS,9,06/01/2009
POS,3,07/01/2009
POS,8,08/01/2009
POS,2,09/01/2009
POS,4,10/01/2009
POS,7,11/01/2009
POS,3,12/01/2009
POS,4,01/01/2010
POS,12,02/01/2010
POS,18,03/01/2010
POS,11,04/01/2010
POS,9,05/01/2010
POS,5,06/01/2010
POS,4,07/01/2010
POS,5,08/01/2010
POS,4,09/01/2010
POS,4,10/01/2010
POS,0,11/01/2010
POS,2,12/01/2010
POS,4,01/01/2011
POS,14,02/01/2011
POS,15,03/01/2011
POS,10,04/01/2011
POS,13,05/01/2011
POS,10,06/01/2011
POS,13,07/01/2011
POS,14,08/01/2011
POS,8,09/01/2011
POS,11,10/01/2011
POS,10,11/01/2011
POS,11,12/01/2011
POS,17,01/01/2012
POS,17,02/01/2012
POS,23,03/01/2012
POS,27,04/01/2012
POS,14,05/01/2012
POS,15,06/01/2012
POS,16,07/01/2012
POS,13,08/01/2012
POS,13,09/01/2012
POS,9,10/01/2012
POS,12,11/01/2012
POS,7,12/01/2012
NEG,0,12/01/2001
NEG,0,11/01/2002
NEG,0,01/01/2003
NEG,0,03/01/2003
NEG,0,04/01/2003
NEG,0,05/01/2003
NEG,0,06/01/2003
NEG,0,07/01/2003
NEG,0,08/01/2003
NEG,1,09/01/2003
NEG,0,10/01/2003
NEG,0,11/01/2003
NEG,0,01/01/2004
NEG,0,02/01/2004
NEG,1,03/01/2004
NEG,1,04/01/2004
NEG,0,05/01/2004
NEG,1,06/01/2004
NEG,0,07/01/2004
NEG,0,08/01/2004
NEG,0,09/01/2004
NEG,0,10/01/2004
NEG,1,11/01/2004
NEG,0,12/01/2004
NEG,1,01/01/2005
NEG,1,02/01/2005
NEG,1,03/01/2005
NEG,1,04/01/2005
NEG,0,05/01/2005
NEG,0,06/01/2005
NEG,2,07/01/2005
NEG,1,08/01/2005
NEG,0,09/01/2005
NEG,0,10/01/2005
