key,value,date
POS,2,11/01/2008
POS,1,12/01/2008
POS,3,01/01/2009
POS,0,02/01/2009
POS,0,03/01/2009
POS,3,04/01/2009
POS,5,05/01/2009
POS,4,06/01/2009
POS,3,07/01/2009
POS,1,08/01/2009
POS,2,09/01/2009
POS,4,10/01/2009
POS,3,11/01/2009
POS,1,12/01/2009
POS,2,02/01/2010
POS,3,03/01/2010
POS,3,04/01/2010
POS,4,05/01/2010
POS,4,06/01/2010
POS,4,07/01/2010
POS,1,08/01/2010
POS,12,09/01/2010
POS,22,10/01/2010
POS,17,11/01/2010
POS,12,12/01/2010
POS,7,01/01/2011
POS,5,02/01/2011
POS,9,03/01/2011
POS,9,04/01/2011
POS,14,05/01/2011
POS,12,06/01/2011
POS,11,07/01/2011
POS,13,08/01/2011
POS,20,09/01/2011
POS,20,10/01/2011
POS,32,11/01/2011
POS,13,12/01/2011
POS,18,01/01/2012
POS,20,02/01/2012
POS,19,03/01/2012
POS,24,04/01/2012
POS,8,05/01/2012
POS,9,06/01/2012
POS,12,07/01/2012
POS,14,08/01/2012
POS,8,09/01/2012
POS,31,10/01/2012
POS,22,11/01/2012
POS,3,12/01/2012
NEG,0,11/01/2008
NEG,1,12/01/2008
NEG,2,01/01/2009
NEG,1,02/01/2009
NEG,1,03/01/2009
NEG,1,04/01/2009
NEG,0,05/01/2009
NEG,1,06/01/2009
NEG,0,07/01/2009
NEG,0,08/01/2009
NEG,0,09/01/2009
NEG,1,10/01/2009
NEG,0,11/01/2009
NEG,0,12/01/2009
NEG,1,02/01/2010
NEG,0,03/01/2010
NEG,0,04/01/2010
NEG,0,05/01/2010
NEG,4,06/01/2010
NEG,0,07/01/2010
NEG,1,08/01/2010
NEG,0,09/01/2010
NEG,2,10/01/2010
NEG,2,11/01/2010
NEG,2,12/01/2010
NEG,2,01/01/2011
NEG,1,02/01/2011
NEG,2,03/01/2011
NEG,0,04/01/2011
NEG,0,05/01/2011
NEG,1,06/01/2011
NEG,0,07/01/2011
NEG,6,08/01/2011
NEG,2,09/01/2011
NEG,0,10/01/2011
NEG,4,11/01/2011
NEG,2,12/01/2011
NEG,0,01/01/2012
NEG,0,02/01/2012
NEG,5,03/01/2012
NEG,2,04/01/2012
NEG,2,05/01/2012
NEG,0,06/01/2012
NEG,0,07/01/2012
NEG,2,08/01/2012
NEG,1,09/01/2012
NEG,4,10/01/2012
NEG,2,11/01/2012
NEG,1,12/01/2012
