label,count,month
POS,4,03/01/2011
POS,2,04/01/2011
POS,2,05/01/2011
POS,2,06/01/2011
POS,4,07/01/2011
POS,5,08/01/2011
POS,2,09/01/2011
POS,12,10/01/2011
POS,8,11/01/2011
POS,5,12/01/2011
POS,12,01/01/2012
POS,4,02/01/2012
POS,10,03/01/2012
POS,10,04/01/2012
POS,11,05/01/2012
POS,7,06/01/2012
POS,8,07/01/2012
POS,7,08/01/2012
POS,10,09/01/2012
POS,14,10/01/2012
POS,11,11/01/2012
POS,6,12/01/2012
NEG,0,03/01/2011
NEG,1,04/01/2011
NEG,0,05/01/2011
NEG,0,06/01/2011
NEG,1,07/01/2011
NEG,1,08/01/2011
NEG,0,09/01/2011
NEG,1,10/01/2011
NEG,0,11/01/2011
NEG,3,12/01/2011
NEG,0,01/01/2012
NEG,0,02/01/2012
NEG,1,03/01/2012
NEG,0,04/01/2012
NEG,1,05/01/2012
NEG,1,06/01/2012
NEG,1,07/01/2012
NEG,0,08/01/2012
NEG,0,09/01/2012
NEG,1,10/01/2012
NEG,0,11/01/2012
NEG,0,12/01/2012
