key,value,date
POS,1,10/01/2008
POS,2,12/01/2008
POS,2,01/01/2009
POS,1,04/01/2009
POS,2,05/01/2009
POS,4,06/01/2009
POS,1,07/01/2009
POS,2,08/01/2009
POS,1,09/01/2009
POS,2,10/01/2009
POS,2,12/01/2009
POS,1,01/01/2010
POS,2,03/01/2010
POS,1,04/01/2010
POS,1,05/01/2010
POS,1,06/01/2010
POS,2,07/01/2010
POS,4,08/01/2010
POS,11,09/01/2010
POS,6,10/01/2010
POS,4,11/01/2010
POS,4,12/01/2010
POS,5,01/01/2011
POS,12,02/01/2011
POS,18,03/01/2011
POS,17,04/01/2011
POS,10,05/01/2011
POS,17,06/01/2011
POS,17,07/01/2011
POS,9,08/01/2011
POS,10,09/01/2011
POS,20,10/01/2011
POS,16,11/01/2011
POS,9,12/01/2011
POS,11,01/01/2012
POS,7,02/01/2012
POS,10,03/01/2012
POS,12,04/01/2012
POS,16,05/01/2012
POS,8,06/01/2012
POS,15,07/01/2012
POS,14,08/01/2012
POS,8,09/01/2012
POS,14,10/01/2012
POS,14,11/01/2012
POS,6,12/01/2012
NEG,0,10/01/2008
NEG,0,12/01/2008
NEG,1,01/01/2009
NEG,1,04/01/2009
NEG,0,05/01/2009
NEG,0,06/01/2009
NEG,0,07/01/2009
NEG,0,08/01/2009
NEG,0,09/01/2009
NEG,0,10/01/2009
NEG,0,12/01/2009
NEG,0,01/01/2010
NEG,0,03/01/2010
NEG,0,04/01/2010
NEG,0,05/01/2010
NEG,0,06/01/2010
NEG,0,07/01/2010
NEG,0,08/01/2010
NEG,0,09/01/2010
NEG,0,10/01/2010
NEG,0,11/01/2010
NEG,1,12/01/2010
NEG,0,01/01/2011
NEG,0,02/01/2011
NEG,1,03/01/2011
NEG,0,04/01/2011
NEG,1,05/01/2011
NEG,2,06/01/2011
NEG,0,07/01/2011
NEG,0,08/01/2011
NEG,0,09/01/2011
NEG,1,10/01/2011
NEG,1,11/01/2011
NEG,1,12/01/2011
NEG,0,01/01/2012
NEG,1,02/01/2012
NEG,1,03/01/2012
NEG,1,04/01/2012
NEG,1,05/01/2012
NEG,1,06/01/2012
NEG,3,07/01/2012
NEG,0,08/01/2012
NEG,0,09/01/2012
NEG,1,10/01/2012
NEG,0,11/01/2012
NEG,0,12/01/2012
