key,value,date
POS,1,06/01/2006
POS,2,03/01/2007
POS,2,04/01/2007
POS,2,05/01/2007
POS,9,06/01/2007
POS,5,07/01/2007
POS,7,08/01/2007
POS,4,09/01/2007
POS,5,10/01/2007
POS,3,11/01/2007
POS,1,12/01/2007
POS,5,01/01/2008
POS,1,02/01/2008
POS,10,03/01/2008
POS,7,04/01/2008
POS,11,05/01/2008
POS,11,06/01/2008
POS,16,07/01/2008
POS,8,08/01/2008
POS,13,09/01/2008
POS,12,10/01/2008
POS,7,11/01/2008
POS,4,12/01/2008
POS,5,01/01/2009
POS,10,02/01/2009
POS,7,03/01/2009
POS,9,04/01/2009
POS,16,05/01/2009
POS,11,06/01/2009
POS,10,07/01/2009
POS,12,08/01/2009
POS,7,09/01/2009
POS,17,10/01/2009
POS,8,11/01/2009
POS,7,12/01/2009
POS,16,01/01/2010
POS,4,02/01/2010
POS,20,03/01/2010
POS,13,04/01/2010
POS,12,05/01/2010
POS,15,06/01/2010
POS,21,07/01/2010
POS,17,08/01/2010
POS,21,09/01/2010
POS,21,10/01/2010
POS,11,11/01/2010
POS,8,12/01/2010
POS,13,01/01/2011
POS,16,02/01/2011
POS,16,03/01/2011
POS,13,04/01/2011
POS,6,05/01/2011
POS,28,06/01/2011
POS,29,07/01/2011
POS,27,08/01/2011
POS,21,09/01/2011
POS,27,10/01/2011
POS,20,11/01/2011
POS,16,12/01/2011
POS,15,01/01/2012
POS,12,02/01/2012
POS,26,03/01/2012
POS,26,04/01/2012
POS,22,05/01/2012
POS,18,06/01/2012
POS,25,07/01/2012
POS,19,08/01/2012
POS,30,09/01/2012
POS,27,10/01/2012
POS,26,11/01/2012
POS,14,12/01/2012
NEG,0,06/01/2006
NEG,0,03/01/2007
NEG,0,04/01/2007
NEG,0,05/01/2007
NEG,0,06/01/2007
NEG,0,07/01/2007
NEG,1,08/01/2007
NEG,0,09/01/2007
NEG,0,10/01/2007
NEG,1,11/01/2007
NEG,0,12/01/2007
NEG,1,01/01/2008
NEG,0,02/01/2008
NEG,0,03/01/2008
NEG,0,04/01/2008
NEG,0,05/01/2008
NEG,1,06/01/2008
NEG,2,07/01/2008
NEG,0,08/01/2008
NEG,0,09/01/2008
NEG,1,10/01/2008
NEG,0,11/01/2008
NEG,0,12/01/2008
NEG,0,01/01/2009
NEG,1,02/01/2009
NEG,1,03/01/2009
NEG,0,04/01/2009
NEG,1,05/01/2009
NEG,1,06/01/2009
NEG,0,07/01/2009
NEG,0,08/01/2009
NEG,0,09/01/2009
NEG,0,10/01/2009
NEG,1,11/01/2009
NEG,0,12/01/2009
NEG,2,01/01/2010
NEG,0,02/01/2010
NEG,0,03/01/2010
NEG,0,04/01/2010
NEG,1,05/01/2010
NEG,1,06/01/2010
NEG,0,07/01/2010
NEG,0,08/01/2010
NEG,2,09/01/2010
NEG,0,10/01/2010
NEG,1,11/01/2010
NEG,0,12/01/2010
NEG,1,01/01/2011
NEG,0,02/01/2011
NEG,3,03/01/2011
NEG,1,04/01/2011
NEG,3,05/01/2011
NEG,2,06/01/2011
NEG,2,07/01/2011
NEG,0,08/01/2011
NEG,1,09/01/2011
NEG,0,10/01/2011
NEG,0,11/01/2011
NEG,0,12/01/2011
NEG,3,01/01/2012
NEG,1,02/01/2012
NEG,2,03/01/2012
NEG,0,04/01/2012
NEG,2,05/01/2012
NEG,1,06/01/2012
NEG,3,07/01/2012
NEG,2,08/01/2012
NEG,2,09/01/2012
NEG,1,10/01/2012
NEG,1,11/01/2012
NEG,0,12/01/2012
