key,value,date
POS,1,01/01/2011
POS,1,02/01/2011
POS,3,03/01/2011
POS,2,04/01/2011
POS,5,06/01/2011
POS,4,07/01/2011
POS,1,08/01/2011
POS,4,10/01/2011
POS,1,11/01/2011
POS,1,01/01/2012
POS,2,03/01/2012
POS,6,04/01/2012
POS,1,05/01/2012
POS,3,06/01/2012
POS,7,07/01/2012
POS,4,08/01/2012
POS,1,11/01/2012
NEG,0,01/01/2011
NEG,0,02/01/2011
NEG,1,03/01/2011
NEG,1,04/01/2011
NEG,0,06/01/2011
NEG,1,07/01/2011
NEG,0,08/01/2011
NEG,0,10/01/2011
NEG,0,11/01/2011
NEG,0,01/01/2012
NEG,0,03/01/2012
NEG,0,04/01/2012
NEG,0,05/01/2012
NEG,0,06/01/2012
NEG,0,07/01/2012
NEG,0,08/01/2012
NEG,0,11/01/2012
