label,count,month
POS,2,11/01/2010
POS,6,12/01/2010
POS,2,01/01/2011
POS,3,02/01/2011
POS,1,03/01/2011
POS,4,04/01/2011
POS,5,05/01/2011
POS,4,06/01/2011
POS,12,07/01/2011
POS,8,08/01/2011
POS,15,09/01/2011
POS,13,10/01/2011
POS,16,11/01/2011
POS,6,12/01/2011
POS,16,01/01/2012
POS,7,02/01/2012
POS,12,03/01/2012
POS,17,04/01/2012
POS,21,05/01/2012
POS,13,06/01/2012
POS,13,07/01/2012
POS,20,08/01/2012
POS,22,09/01/2012
POS,13,10/01/2012
POS,12,11/01/2012
POS,3,12/01/2012
NEG,0,11/01/2010
NEG,1,12/01/2010
NEG,0,01/01/2011
NEG,1,02/01/2011
NEG,3,03/01/2011
NEG,0,04/01/2011
NEG,0,05/01/2011
NEG,0,06/01/2011
NEG,2,07/01/2011
NEG,1,08/01/2011
NEG,0,09/01/2011
NEG,0,10/01/2011
NEG,0,11/01/2011
NEG,0,12/01/2011
NEG,2,01/01/2012
NEG,0,02/01/2012
NEG,3,03/01/2012
NEG,3,04/01/2012
NEG,1,05/01/2012
NEG,2,06/01/2012
NEG,2,07/01/2012
NEG,2,08/01/2012
NEG,3,09/01/2012
NEG,4,10/01/2012
NEG,0,11/01/2012
NEG,0,12/01/2012
