label,count,month
POS,0,03/01/2008
POS,4,04/01/2008
POS,7,05/01/2008
POS,4,06/01/2008
POS,4,07/01/2008
POS,4,08/01/2008
POS,1,09/01/2008
POS,1,10/01/2008
POS,4,11/01/2008
POS,2,12/01/2008
POS,1,01/01/2009
POS,1,02/01/2009
POS,6,03/01/2009
POS,4,04/01/2009
POS,3,05/01/2009
POS,3,06/01/2009
POS,2,07/01/2009
POS,3,08/01/2009
POS,4,09/01/2009
POS,8,10/01/2009
POS,6,11/01/2009
POS,3,12/01/2009
POS,2,01/01/2010
POS,2,02/01/2010
POS,4,03/01/2010
POS,3,04/01/2010
POS,4,05/01/2010
POS,12,06/01/2010
POS,4,07/01/2010
POS,4,08/01/2010
POS,4,09/01/2010
POS,11,10/01/2010
POS,3,11/01/2010
POS,2,12/01/2010
POS,4,01/01/2011
POS,1,02/01/2011
POS,4,03/01/2011
POS,3,04/01/2011
POS,3,05/01/2011
POS,2,06/01/2011
POS,9,07/01/2011
POS,11,08/01/2011
POS,16,09/01/2011
POS,7,10/01/2011
POS,17,11/01/2011
POS,13,12/01/2011
POS,16,01/01/2012
POS,9,02/01/2012
POS,16,03/01/2012
POS,22,04/01/2012
POS,18,05/01/2012
POS,11,06/01/2012
POS,24,07/01/2012
POS,20,08/01/2012
POS,19,09/01/2012
POS,17,10/01/2012
POS,18,11/01/2012
POS,10,12/01/2012
NEG,1,03/01/2008
NEG,0,04/01/2008
NEG,2,05/01/2008
NEG,0,06/01/2008
NEG,2,07/01/2008
NEG,1,08/01/2008
NEG,0,09/01/2008
NEG,0,10/01/2008
NEG,1,11/01/2008
NEG,0,12/01/2008
NEG,0,01/01/2009
NEG,0,02/01/2009
NEG,2,03/01/2009
NEG,1,04/01/2009
NEG,1,05/01/2009
NEG,0,06/01/2009
NEG,0,07/01/2009
NEG,1,08/01/2009
NEG,1,09/01/2009
NEG,1,10/01/2009
NEG,0,11/01/2009
NEG,0,12/01/2009
NEG,0,01/01/2010
NEG,2,02/01/2010
NEG,3,03/01/2010
NEG,0,04/01/2010
NEG,1,05/01/2010
NEG,2,06/01/2010
NEG,3,07/01/2010
NEG,2,08/01/2010
NEG,2,09/01/2010
NEG,1,10/01/2010
NEG,2,11/01/2010
NEG,0,12/01/2010
NEG,1,01/01/2011
NEG,1,02/01/2011
NEG,1,03/01/2011
NEG,0,04/01/2011
NEG,0,05/01/2011
NEG,3,06/01/2011
NEG,1,07/01/2011
NEG,0,08/01/2011
NEG,0,09/01/2011
NEG,2,10/01/2011
NEG,3,11/01/2011
NEG,2,12/01/2011
NEG,1,01/01/2012
NEG,2,02/01/2012
NEG,3,03/01/2012
NEG,1,04/01/2012
NEG,5,05/01/2012
NEG,1,06/01/2012
NEG,4,07/01/2012
NEG,3,08/01/2012
NEG,4,09/01/2012
NEG,2,10/01/2012
NEG,1,11/01/2012
NEG,1,12/01/2012
