key,value,date
POS,1,10/01/2011
POS,6,11/01/2011
POS,2,12/01/2011
POS,6,01/01/2012
POS,6,02/01/2012
POS,5,03/01/2012
POS,3,04/01/2012
POS,6,05/01/2012
POS,7,06/01/2012
POS,6,07/01/2012
POS,2,08/01/2012
POS,10,09/01/2012
POS,6,10/01/2012
POS,4,11/01/2012
POS,4,12/01/2012
NEG,0,10/01/2011
NEG,1,11/01/2011
NEG,0,12/01/2011
NEG,0,01/01/2012
NEG,0,02/01/2012
NEG,1,03/01/2012
NEG,0,04/01/2012
NEG,0,05/01/2012
NEG,0,06/01/2012
NEG,1,07/01/2012
NEG,1,08/01/2012
NEG,0,09/01/2012
NEG,2,10/01/2012
NEG,1,11/01/2012
NEG,0,12/01/2012
