key,value,date
POS,1,04/01/2010
POS,1,05/01/2010
POS,8,06/01/2010
POS,5,07/01/2010
POS,1,08/01/2010
POS,1,09/01/2010
POS,5,10/01/2010
POS,1,11/01/2010
POS,3,12/01/2010
POS,8,01/01/2011
POS,1,02/01/2011
POS,1,03/01/2011
POS,10,04/01/2011
POS,13,05/01/2011
POS,14,06/01/2011
POS,11,07/01/2011
POS,22,08/01/2011
POS,9,09/01/2011
POS,14,10/01/2011
POS,15,11/01/2011
POS,15,12/01/2011
POS,16,01/01/2012
POS,10,02/01/2012
POS,17,03/01/2012
POS,10,04/01/2012
POS,11,05/01/2012
POS,11,06/01/2012
POS,14,07/01/2012
POS,7,08/01/2012
POS,1,09/01/2012
POS,7,10/01/2012
POS,4,11/01/2012
POS,2,12/01/2012
NEG,0,04/01/2010
NEG,1,05/01/2010
NEG,0,06/01/2010
NEG,0,07/01/2010
NEG,1,08/01/2010
NEG,0,09/01/2010
NEG,2,10/01/2010
NEG,0,11/01/2010
NEG,0,12/01/2010
NEG,0,01/01/2011
NEG,1,02/01/2011
NEG,0,03/01/2011
NEG,0,04/01/2011
NEG,0,05/01/2011
NEG,0,06/01/2011
NEG,1,07/01/2011
NEG,1,08/01/2011
NEG,2,09/01/2011
NEG,3,10/01/2011
NEG,3,11/01/2011
NEG,1,12/01/2011
NEG,1,01/01/2012
NEG,4,02/01/2012
NEG,1,03/01/2012
NEG,1,04/01/2012
NEG,1,05/01/2012
NEG,3,06/01/2012
NEG,3,07/01/2012
NEG,1,08/01/2012
NEG,1,09/01/2012
NEG,0,10/01/2012
NEG,2,11/01/2012
NEG,1,12/01/2012
