label,count,month
POS,1,10/01/2009
POS,1,11/01/2009
POS,0,12/01/2009
POS,4,02/01/2010
POS,7,03/01/2010
POS,2,04/01/2010
POS,2,05/01/2010
POS,2,06/01/2010
POS,4,07/01/2010
POS,3,08/01/2010
POS,2,09/01/2010
POS,0,10/01/2010
POS,2,11/01/2010
POS,2,01/01/2011
POS,4,02/01/2011
POS,0,03/01/2011
POS,1,04/01/2011
POS,2,05/01/2011
POS,0,06/01/2011
POS,7,07/01/2011
POS,8,08/01/2011
POS,5,09/01/2011
POS,5,10/01/2011
POS,7,11/01/2011
POS,3,12/01/2011
POS,5,01/01/2012
POS,6,02/01/2012
POS,12,03/01/2012
POS,6,04/01/2012
POS,7,05/01/2012
POS,5,06/01/2012
POS,7,07/01/2012
POS,11,08/01/2012
POS,8,09/01/2012
POS,6,10/01/2012
POS,4,11/01/2012
POS,9,12/01/2012
NEG,0,10/01/2009
NEG,0,11/01/2009
NEG,2,12/01/2009
NEG,1,02/01/2010
NEG,2,03/01/2010
NEG,0,04/01/2010
NEG,0,05/01/2010
NEG,2,06/01/2010
NEG,0,07/01/2010
NEG,0,08/01/2010
NEG,2,09/01/2010
NEG,2,10/01/2010
NEG,0,11/01/2010
NEG,0,01/01/2011
NEG,0,02/01/2011
NEG,2,03/01/2011
NEG,1,04/01/2011
NEG,1,05/01/2011
NEG,2,06/01/2011
NEG,2,07/01/2011
NEG,2,08/01/2011
NEG,2,09/01/2011
NEG,0,10/01/2011
NEG,0,11/01/2011
NEG,2,12/01/2011
NEG,0,01/01/2012
NEG,3,02/01/2012
NEG,2,03/01/2012
NEG,1,04/01/2012
NEG,1,05/01/2012
NEG,0,06/01/2012
NEG,2,07/01/2012
NEG,2,08/01/2012
NEG,3,09/01/2012
NEG,3,10/01/2012
NEG,4,11/01/2012
NEG,0,12/01/2012
