key,value,date
POS,1,01/01/2010
POS,4,02/01/2010
POS,7,03/01/2010
POS,15,04/01/2010
POS,8,05/01/2010
POS,12,06/01/2010
POS,20,07/01/2010
POS,16,08/01/2010
POS,4,09/01/2010
POS,15,10/01/2010
POS,3,11/01/2010
POS,4,12/01/2010
POS,5,01/01/2011
POS,5,02/01/2011
POS,9,03/01/2011
POS,13,04/01/2011
POS,6,05/01/2011
POS,19,06/01/2011
POS,28,07/01/2011
POS,34,08/01/2011
POS,37,09/01/2011
POS,16,10/01/2011
POS,16,11/01/2011
POS,9,12/01/2011
POS,13,01/01/2012
POS,15,02/01/2012
POS,16,03/01/2012
POS,25,04/01/2012
POS,18,05/01/2012
POS,22,06/01/2012
POS,34,07/01/2012
POS,31,08/01/2012
POS,35,09/01/2012
POS,24,10/01/2012
POS,13,11/01/2012
POS,7,12/01/2012
NEG,0,01/01/2010
NEG,0,02/01/2010
NEG,6,03/01/2010
NEG,4,04/01/2010
NEG,3,05/01/2010
NEG,1,06/01/2010
NEG,4,07/01/2010
NEG,3,08/01/2010
NEG,1,09/01/2010
NEG,3,10/01/2010
NEG,0,11/01/2010
NEG,0,12/01/2010
NEG,0,01/01/2011
NEG,0,02/01/2011
NEG,3,03/01/2011
NEG,0,04/01/2011
NEG,2,05/01/2011
NEG,2,06/01/2011
NEG,6,07/01/2011
NEG,6,08/01/2011
NEG,2,09/01/2011
NEG,3,10/01/2011
NEG,1,11/01/2011
NEG,1,12/01/2011
NEG,3,01/01/2012
NEG,1,02/01/2012
NEG,3,03/01/2012
NEG,2,04/01/2012
NEG,1,05/01/2012
NEG,0,06/01/2012
NEG,6,07/01/2012
NEG,3,08/01/2012
NEG,4,09/01/2012
NEG,0,10/01/2012
NEG,3,11/01/2012
NEG,0,12/01/2012
