key,value,date
POS,1,09/01/2010
POS,4,10/01/2010
POS,1,11/01/2010
POS,1,12/01/2010
POS,2,01/01/2011
POS,1,02/01/2011
POS,2,05/01/2011
POS,1,06/01/2011
POS,1,08/01/2011
POS,4,09/01/2011
POS,1,10/01/2011
POS,0,11/01/2011
POS,1,12/01/2011
POS,2,01/01/2012
POS,4,02/01/2012
POS,2,03/01/2012
POS,3,04/01/2012
POS,2,05/01/2012
POS,1,06/01/2012
POS,2,07/01/2012
POS,0,08/01/2012
POS,2,10/01/2012
POS,1,12/01/2012
NEG,0,09/01/2010
NEG,0,10/01/2010
NEG,0,11/01/2010
NEG,0,12/01/2010
NEG,0,01/01/2011
NEG,0,02/01/2011
NEG,0,05/01/2011
NEG,0,06/01/2011
NEG,0,08/01/2011
NEG,0,09/01/2011
NEG,0,10/01/2011
NEG,1,11/01/2011
NEG,0,12/01/2011
NEG,0,01/01/2012
NEG,0,02/01/2012
NEG,0,03/01/2012
NEG,0,04/01/2012
NEG,0,05/01/2012
NEG,2,06/01/2012
NEG,0,07/01/2012
NEG,1,08/01/2012
NEG,0,10/01/2012
NEG,0,12/01/2012
