label,count,month
POS,1,08/01/2010
POS,1,10/01/2010
POS,1,01/01/2011
POS,1,03/01/2011
POS,1,04/01/2011
POS,1,05/01/2011
POS,1,06/01/2011
POS,3,07/01/2011
POS,3,10/01/2011
POS,2,11/01/2011
POS,0,02/01/2012
POS,4,03/01/2012
POS,1,04/01/2012
POS,1,05/01/2012
POS,1,06/01/2012
POS,9,07/01/2012
POS,19,08/01/2012
POS,5,09/01/2012
POS,7,10/01/2012
POS,8,11/01/2012
NEG,1,08/01/2010
NEG,0,10/01/2010
NEG,0,01/01/2011
NEG,0,03/01/2011
NEG,0,04/01/2011
NEG,0,05/01/2011
NEG,0,06/01/2011
NEG,1,07/01/2011
NEG,0,10/01/2011
NEG,0,11/01/2011
NEG,1,02/01/2012
NEG,0,03/01/2012
NEG,1,04/01/2012
NEG,0,05/01/2012
NEG,0,06/01/2012
NEG,2,07/01/2012
NEG,0,08/01/2012
NEG,3,09/01/2012
NEG,2,10/01/2012
NEG,2,11/01/2012
