label,count,month
POS,1,08/01/2011
POS,1,10/01/2011
POS,3,11/01/2011
POS,1,01/01/2012
POS,4,02/01/2012
POS,5,03/01/2012
POS,4,04/01/2012
POS,2,05/01/2012
POS,5,06/01/2012
POS,6,07/01/2012
POS,7,08/01/2012
POS,3,09/01/2012
POS,6,10/01/2012
POS,5,11/01/2012
POS,5,12/01/2012
NEG,0,08/01/2011
NEG,0,10/01/2011
NEG,0,11/01/2011
NEG,0,01/01/2012
NEG,0,02/01/2012
NEG,0,03/01/2012
NEG,0,04/01/2012
NEG,0,05/01/2012
NEG,0,06/01/2012
NEG,1,07/01/2012
NEG,0,08/01/2012
NEG,0,09/01/2012
NEG,0,10/01/2012
NEG,0,11/01/2012
NEG,0,12/01/2012
