key,value,date
POS,1,09/01/2010
POS,3,10/01/2010
POS,6,11/01/2010
POS,7,12/01/2010
POS,3,01/01/2011
POS,3,02/01/2011
POS,3,03/01/2011
POS,5,04/01/2011
POS,18,05/01/2011
POS,11,06/01/2011
POS,22,07/01/2011
POS,14,08/01/2011
POS,16,09/01/2011
POS,9,10/01/2011
POS,15,11/01/2011
POS,8,12/01/2011
POS,12,01/01/2012
POS,16,02/01/2012
POS,13,03/01/2012
POS,11,04/01/2012
POS,15,05/01/2012
POS,7,06/01/2012
POS,12,07/01/2012
POS,10,08/01/2012
POS,12,09/01/2012
POS,59,10/01/2012
POS,33,11/01/2012
POS,6,12/01/2012
NEG,0,09/01/2010
NEG,2,10/01/2010
NEG,2,11/01/2010
NEG,0,12/01/2010
NEG,0,01/01/2011
NEG,2,02/01/2011
NEG,3,03/01/2011
NEG,5,04/01/2011
NEG,3,05/01/2011
NEG,3,06/01/2011
NEG,6,07/01/2011
NEG,0,08/01/2011
NEG,3,09/01/2011
NEG,9,10/01/2011
NEG,8,11/01/2011
NEG,2,12/01/2011
NEG,3,01/01/2012
NEG,6,02/01/2012
NEG,6,03/01/2012
NEG,6,04/01/2012
NEG,3,05/01/2012
NEG,5,06/01/2012
NEG,7,07/01/2012
NEG,4,08/01/2012
NEG,6,09/01/2012
NEG,12,10/01/2012
NEG,13,11/01/2012
NEG,5,12/01/2012
