key,value,date
POS,1,10/01/2002
POS,1,02/01/2003
POS,3,04/01/2003
POS,3,05/01/2003
POS,3,06/01/2003
POS,1,07/01/2003
POS,1,08/01/2003
POS,2,10/01/2003
POS,1,11/01/2003
POS,1,12/01/2003
POS,1,01/01/2004
POS,1,02/01/2004
POS,3,03/01/2004
POS,0,04/01/2004
POS,1,05/01/2004
POS,2,06/01/2004
POS,5,07/01/2004
POS,1,08/01/2004
POS,2,09/01/2004
POS,1,10/01/2004
POS,2,11/01/2004
POS,1,12/01/2004
POS,1,01/01/2005
POS,1,02/01/2005
POS,3,03/01/2005
POS,1,04/01/2005
POS,1,05/01/2005
POS,2,06/01/2005
POS,5,07/01/2005
POS,5,08/01/2005
POS,3,09/01/2005
POS,1,10/01/2005
POS,2,11/01/2005
POS,2,12/01/2005
POS,0,01/01/2006
POS,2,02/01/2006
POS,4,03/01/2006
POS,3,04/01/2006
POS,3,05/01/2006
POS,2,06/01/2006
POS,5,07/01/2006
POS,2,08/01/2006
POS,2,09/01/2006
POS,4,10/01/2006
POS,2,11/01/2006
POS,2,12/01/2006
POS,3,01/01/2007
POS,2,02/01/2007
POS,2,03/01/2007
POS,2,04/01/2007
POS,3,05/01/2007
POS,4,06/01/2007
POS,1,07/01/2007
POS,4,08/01/2007
POS,1,09/01/2007
POS,3,10/01/2007
POS,1,11/01/2007
POS,3,12/01/2007
POS,1,01/01/2008
POS,1,02/01/2008
POS,3,04/01/2008
POS,2,05/01/2008
POS,7,06/01/2008
POS,4,07/01/2008
POS,2,08/01/2008
POS,3,09/01/2008
POS,4,10/01/2008
POS,2,11/01/2008
POS,2,12/01/2008
POS,3,01/01/2009
POS,4,02/01/2009
POS,2,03/01/2009
POS,3,04/01/2009
POS,4,05/01/2009
POS,6,06/01/2009
POS,4,07/01/2009
POS,6,08/01/2009
POS,3,09/01/2009
POS,3,10/01/2009
POS,7,11/01/2009
POS,1,12/01/2009
POS,2,01/01/2010
POS,1,02/01/2010
POS,6,03/01/2010
POS,5,04/01/2010
POS,2,05/01/2010
POS,0,06/01/2010
POS,4,07/01/2010
POS,7,08/01/2010
POS,5,09/01/2010
POS,4,10/01/2010
POS,9,11/01/2010
POS,2,12/01/2010
POS,4,01/01/2011
POS,6,02/01/2011
POS,27,03/01/2011
POS,31,04/01/2011
POS,37,05/01/2011
POS,38,06/01/2011
POS,37,07/01/2011
POS,45,08/01/2011
POS,23,09/01/2011
POS,42,10/01/2011
POS,44,11/01/2011
POS,32,12/01/2011
POS,51,01/01/2012
POS,37,02/01/2012
POS,54,03/01/2012
POS,45,04/01/2012
POS,60,05/01/2012
POS,41,06/01/2012
POS,37,07/01/2012
POS,33,08/01/2012
POS,36,09/01/2012
POS,50,10/01/2012
POS,46,11/01/2012
POS,18,12/01/2012
NEG,0,10/01/2002
NEG,0,02/01/2003
NEG,0,04/01/2003
NEG,0,05/01/2003
NEG,0,06/01/2003
NEG,0,07/01/2003
NEG,2,08/01/2003
NEG,0,10/01/2003
NEG,0,11/01/2003
NEG,0,12/01/2003
NEG,0,01/01/2004
NEG,0,02/01/2004
NEG,0,03/01/2004
NEG,2,04/01/2004
NEG,0,05/01/2004
NEG,1,06/01/2004
NEG,0,07/01/2004
NEG,0,08/01/2004
NEG,1,09/01/2004
NEG,0,10/01/2004
NEG,0,11/01/2004
NEG,0,12/01/2004
NEG,0,01/01/2005
NEG,0,02/01/2005
NEG,0,03/01/2005
NEG,1,04/01/2005
NEG,0,05/01/2005
NEG,0,06/01/2005
NEG,1,07/01/2005
NEG,0,08/01/2005
NEG,0,09/01/2005
NEG,0,10/01/2005
NEG,0,11/01/2005
NEG,0,12/01/2005
NEG,3,01/01/2006
NEG,0,02/01/2006
NEG,1,03/01/2006
NEG,0,04/01/2006
NEG,0,05/01/2006
NEG,1,06/01/2006
NEG,2,07/01/2006
NEG,0,08/01/2006
NEG,0,09/01/2006
NEG,2,10/01/2006
NEG,0,11/01/2006
NEG,0,12/01/2006
NEG,0,01/01/2007
NEG,0,02/01/2007
NEG,1,03/01/2007
NEG,0,04/01/2007
NEG,0,05/01/2007
NEG,0,06/01/2007
NEG,0,07/01/2007
NEG,0,08/01/2007
NEG,0,09/01/2007
NEG,1,10/01/2007
NEG,0,11/01/2007
NEG,0,12/01/2007
NEG,0,01/01/2008
NEG,0,02/01/2008
NEG,1,04/01/2008
NEG,0,05/01/2008
NEG,0,06/01/2008
NEG,0,07/01/2008
NEG,2,08/01/2008
NEG,1,09/01/2008
NEG,0,10/01/2008
NEG,1,11/01/2008
NEG,3,12/01/2008
NEG,0,01/01/2009
NEG,0,02/01/2009
NEG,0,03/01/2009
NEG,0,04/01/2009
NEG,0,05/01/2009
NEG,3,06/01/2009
NEG,2,07/01/2009
NEG,0,08/01/2009
NEG,1,09/01/2009
NEG,3,10/01/2009
NEG,0,11/01/2009
NEG,1,12/01/2009
NEG,0,01/01/2010
NEG,1,02/01/2010
NEG,0,03/01/2010
NEG,1,04/01/2010
NEG,2,05/01/2010
NEG,3,06/01/2010
NEG,4,07/01/2010
NEG,1,08/01/2010
NEG,1,09/01/2010
NEG,2,10/01/2010
NEG,0,11/01/2010
NEG,1,12/01/2010
NEG,3,01/01/2011
NEG,1,02/01/2011
NEG,2,03/01/2011
NEG,5,04/01/2011
NEG,2,05/01/2011
NEG,2,06/01/2011
NEG,4,07/01/2011
NEG,8,08/01/2011
NEG,2,09/01/2011
NEG,2,10/01/2011
NEG,1,11/01/2011
NEG,4,12/01/2011
NEG,7,01/01/2012
NEG,5,02/01/2012
NEG,4,03/01/2012
NEG,6,04/01/2012
NEG,4,05/01/2012
NEG,2,06/01/2012
NEG,2,07/01/2012
NEG,1,08/01/2012
NEG,3,09/01/2012
NEG,2,10/01/2012
NEG,4,11/01/2012
NEG,2,12/01/2012
