label,count,month
POS,2,10/01/2010
POS,1,12/01/2010
POS,2,01/01/2011
POS,1,02/01/2011
POS,3,03/01/2011
POS,4,04/01/2011
POS,2,05/01/2011
POS,2,06/01/2011
POS,4,07/01/2011
POS,7,08/01/2011
POS,3,09/01/2011
POS,14,10/01/2011
POS,10,11/01/2011
POS,10,12/01/2011
POS,12,01/01/2012
POS,12,02/01/2012
POS,6,03/01/2012
POS,8,04/01/2012
POS,14,05/01/2012
POS,10,06/01/2012
POS,10,07/01/2012
POS,6,08/01/2012
POS,7,09/01/2012
POS,5,10/01/2012
POS,4,11/01/2012
POS,7,12/01/2012
NEG,0,10/01/2010
NEG,0,12/01/2010
NEG,0,01/01/2011
NEG,0,02/01/2011
NEG,0,03/01/2011
NEG,0,04/01/2011
NEG,0,05/01/2011
NEG,0,06/01/2011
NEG,0,07/01/2011
NEG,1,08/01/2011
NEG,0,09/01/2011
NEG,0,10/01/2011
NEG,1,11/01/2011
NEG,2,12/01/2011
NEG,1,01/01/2012
NEG,2,02/01/2012
NEG,0,03/01/2012
NEG,0,04/01/2012
NEG,0,05/01/2012
NEG,2,06/01/2012
NEG,2,07/01/2012
NEG,1,08/01/2012
NEG,0,09/01/2012
NEG,0,10/01/2012
NEG,0,11/01/2012
NEG,0,12/01/2012
