key,value,date
POS,6,02/01/2010
POS,7,03/01/2010
POS,4,04/01/2010
POS,4,05/01/2010
POS,6,06/01/2010
POS,10,07/01/2010
POS,7,08/01/2010
POS,5,09/01/2010
POS,5,10/01/2010
POS,6,11/01/2010
POS,4,12/01/2010
POS,5,01/01/2011
POS,3,02/01/2011
POS,5,03/01/2011
POS,4,04/01/2011
POS,3,05/01/2011
POS,7,06/01/2011
POS,15,07/01/2011
POS,12,08/01/2011
POS,18,09/01/2011
POS,15,10/01/2011
POS,14,11/01/2011
POS,10,12/01/2011
POS,13,01/01/2012
POS,7,02/01/2012
POS,18,03/01/2012
POS,7,04/01/2012
POS,10,05/01/2012
POS,10,06/01/2012
POS,14,07/01/2012
POS,16,08/01/2012
POS,11,09/01/2012
POS,15,10/01/2012
POS,12,11/01/2012
POS,11,12/01/2012
NEG,1,02/01/2010
NEG,0,03/01/2010
NEG,0,04/01/2010
NEG,4,05/01/2010
NEG,0,06/01/2010
NEG,1,07/01/2010
NEG,0,08/01/2010
NEG,3,09/01/2010
NEG,2,10/01/2010
NEG,0,11/01/2010
NEG,3,12/01/2010
NEG,0,01/01/2011
NEG,0,02/01/2011
NEG,0,03/01/2011
NEG,2,04/01/2011
NEG,0,05/01/2011
NEG,1,06/01/2011
NEG,1,07/01/2011
NEG,3,08/01/2011
NEG,0,09/01/2011
NEG,2,10/01/2011
NEG,2,11/01/2011
NEG,2,12/01/2011
NEG,1,01/01/2012
NEG,0,02/01/2012
NEG,2,03/01/2012
NEG,1,04/01/2012
NEG,4,05/01/2012
NEG,3,06/01/2012
NEG,0,07/01/2012
NEG,3,08/01/2012
NEG,3,09/01/2012
NEG,0,10/01/2012
NEG,1,11/01/2012
NEG,1,12/01/2012
