label,count,month
POS,1,06/01/2003
POS,1,08/01/2003
POS,1,12/01/2003
POS,0,01/01/2004
POS,3,02/01/2004
POS,1,03/01/2004
POS,3,05/01/2004
POS,0,06/01/2004
POS,2,07/01/2004
POS,3,08/01/2004
POS,1,09/01/2004
POS,2,10/01/2004
POS,1,02/01/2005
POS,2,04/01/2005
POS,1,05/01/2005
POS,1,06/01/2005
POS,1,07/01/2005
POS,1,08/01/2005
POS,1,09/01/2005
POS,1,10/01/2005
POS,2,11/01/2005
POS,1,12/01/2005
POS,2,01/01/2006
POS,3,03/01/2006
POS,3,04/01/2006
POS,2,05/01/2006
POS,3,06/01/2006
POS,3,07/01/2006
POS,4,08/01/2006
POS,3,09/01/2006
POS,2,10/01/2006
POS,1,11/01/2006
POS,1,01/01/2007
POS,1,02/01/2007
POS,6,03/01/2007
POS,2,04/01/2007
POS,1,05/01/2007
POS,2,06/01/2007
POS,4,07/01/2007
POS,2,08/01/2007
POS,6,10/01/2007
POS,1,12/01/2007
POS,1,01/01/2008
POS,3,02/01/2008
POS,5,03/01/2008
POS,13,04/01/2008
POS,4,05/01/2008
POS,2,06/01/2008
POS,7,07/01/2008
POS,2,08/01/2008
POS,3,09/01/2008
POS,3,10/01/2008
POS,3,11/01/2008
POS,5,12/01/2008
POS,3,01/01/2009
POS,5,02/01/2009
POS,5,03/01/2009
POS,3,04/01/2009
POS,7,05/01/2009
POS,11,06/01/2009
POS,6,07/01/2009
POS,6,08/01/2009
POS,11,09/01/2009
POS,7,10/01/2009
POS,7,11/01/2009
POS,6,12/01/2009
POS,5,01/01/2010
POS,9,02/01/2010
POS,14,03/01/2010
POS,16,04/01/2010
POS,6,05/01/2010
POS,13,06/01/2010
POS,16,07/01/2010
POS,12,08/01/2010
POS,6,09/01/2010
POS,9,10/01/2010
POS,7,11/01/2010
POS,9,12/01/2010
POS,10,01/01/2011
POS,11,02/01/2011
POS,9,03/01/2011
POS,15,04/01/2011
POS,21,05/01/2011
POS,23,06/01/2011
POS,27,07/01/2011
POS,28,08/01/2011
POS,26,09/01/2011
POS,17,10/01/2011
POS,18,11/01/2011
POS,12,12/01/2011
POS,13,01/01/2012
POS,19,02/01/2012
POS,25,03/01/2012
POS,36,04/01/2012
POS,25,05/01/2012
POS,17,06/01/2012
POS,23,07/01/2012
POS,27,08/01/2012
POS,21,09/01/2012
POS,24,10/01/2012
POS,20,11/01/2012
POS,12,12/01/2012
NEG,0,06/01/2003
NEG,0,08/01/2003
NEG,0,12/01/2003
NEG,1,01/01/2004
NEG,0,02/01/2004
NEG,0,03/01/2004
NEG,0,05/01/2004
NEG,1,06/01/2004
NEG,0,07/01/2004
NEG,0,08/01/2004
NEG,0,09/01/2004
NEG,0,10/01/2004
NEG,0,02/01/2005
NEG,0,04/01/2005
NEG,0,05/01/2005
NEG,0,06/01/2005
NEG,0,07/01/2005
NEG,1,08/01/2005
NEG,0,09/01/2005
NEG,0,10/01/2005
NEG,0,11/01/2005
NEG,0,12/01/2005
NEG,0,01/01/2006
NEG,0,03/01/2006
NEG,0,04/01/2006
NEG,0,05/01/2006
NEG,1,06/01/2006
NEG,0,07/01/2006
NEG,1,08/01/2006
NEG,1,09/01/2006
NEG,0,10/01/2006
NEG,1,11/01/2006
NEG,0,01/01/2007
NEG,0,02/01/2007
NEG,0,03/01/2007
NEG,1,04/01/2007
NEG,0,05/01/2007
NEG,0,06/01/2007
NEG,0,07/01/2007
NEG,0,08/01/2007
NEG,0,10/01/2007
NEG,0,12/01/2007
NEG,0,01/01/2008
NEG,0,02/01/2008
NEG,0,03/01/2008
NEG,0,04/01/2008
NEG,0,05/01/2008
NEG,0,06/01/2008
NEG,0,07/01/2008
NEG,0,08/01/2008
NEG,0,09/01/2008
NEG,0,10/01/2008
NEG,0,11/01/2008
NEG,0,12/01/2008
NEG,0,01/01/2009
NEG,0,02/01/2009
NEG,1,03/01/2009
NEG,0,04/01/2009
NEG,1,05/01/2009
NEG,1,06/01/2009
NEG,1,07/01/2009
NEG,3,08/01/2009
NEG,2,09/01/2009
NEG,1,10/01/2009
NEG,2,11/01/2009
NEG,0,12/01/2009
NEG,1,01/01/2010
NEG,0,02/01/2010
NEG,0,03/01/2010
NEG,2,04/01/2010
NEG,1,05/01/2010
NEG,1,06/01/2010
NEG,3,07/01/2010
NEG,5,08/01/2010
NEG,3,09/01/2010
NEG,0,10/01/2010
NEG,2,11/01/2010
NEG,1,12/01/2010
NEG,1,01/01/2011
NEG,1,02/01/2011
NEG,1,03/01/2011
NEG,3,04/01/2011
NEG,2,05/01/2011
NEG,3,06/01/2011
NEG,4,07/01/2011
NEG,4,08/01/2011
NEG,6,09/01/2011
NEG,1,10/01/2011
NEG,3,11/01/2011
NEG,1,12/01/2011
NEG,4,01/01/2012
NEG,5,02/01/2012
NEG,1,03/01/2012
NEG,2,04/01/2012
NEG,2,05/01/2012
NEG,3,06/01/2012
NEG,2,07/01/2012
NEG,4,08/01/2012
NEG,0,09/01/2012
NEG,3,10/01/2012
NEG,2,11/01/2012
NEG,1,12/01/2012
