label,count,month
POS,2,07/01/2008
POS,5,08/01/2008
POS,0,09/01/2008
POS,1,10/01/2008
POS,1,12/01/2008
POS,2,01/01/2009
POS,3,02/01/2009
POS,1,03/01/2009
POS,2,04/01/2009
POS,4,06/01/2009
POS,6,07/01/2009
POS,3,08/01/2009
POS,2,09/01/2009
POS,6,10/01/2009
POS,1,11/01/2009
POS,3,12/01/2009
POS,1,01/01/2010
POS,1,02/01/2010
POS,6,03/01/2010
POS,3,04/01/2010
POS,11,05/01/2010
POS,3,06/01/2010
POS,8,07/01/2010
POS,8,08/01/2010
POS,6,09/01/2010
POS,13,10/01/2010
POS,5,11/01/2010
POS,4,12/01/2010
POS,7,01/01/2011
POS,5,02/01/2011
POS,7,03/01/2011
POS,11,04/01/2011
POS,4,05/01/2011
POS,5,06/01/2011
POS,18,07/01/2011
POS,19,08/01/2011
POS,13,09/01/2011
POS,11,10/01/2011
POS,9,11/01/2011
POS,8,12/01/2011
POS,9,01/01/2012
POS,6,02/01/2012
POS,19,03/01/2012
POS,24,04/01/2012
POS,16,05/01/2012
POS,15,06/01/2012
POS,22,07/01/2012
POS,24,08/01/2012
POS,9,09/01/2012
POS,17,10/01/2012
POS,11,11/01/2012
POS,1,12/01/2012
NEG,1,07/01/2008
NEG,0,08/01/2008
NEG,1,09/01/2008
NEG,0,10/01/2008
NEG,0,12/01/2008
NEG,0,01/01/2009
NEG,2,02/01/2009
NEG,1,03/01/2009
NEG,1,04/01/2009
NEG,0,06/01/2009
NEG,0,07/01/2009
NEG,0,08/01/2009
NEG,0,09/01/2009
NEG,0,10/01/2009
NEG,1,11/01/2009
NEG,2,12/01/2009
NEG,0,01/01/2010
NEG,0,02/01/2010
NEG,0,03/01/2010
NEG,1,04/01/2010
NEG,0,05/01/2010
NEG,1,06/01/2010
NEG,1,07/01/2010
NEG,0,08/01/2010
NEG,3,09/01/2010
NEG,1,10/01/2010
NEG,0,11/01/2010
NEG,1,12/01/2010
NEG,2,01/01/2011
NEG,1,02/01/2011
NEG,0,03/01/2011
NEG,0,04/01/2011
NEG,0,05/01/2011
NEG,0,06/01/2011
NEG,0,07/01/2011
NEG,4,08/01/2011
NEG,2,09/01/2011
NEG,1,10/01/2011
NEG,2,11/01/2011
NEG,1,12/01/2011
NEG,0,01/01/2012
NEG,0,02/01/2012
NEG,0,03/01/2012
NEG,0,04/01/2012
NEG,1,05/01/2012
NEG,1,06/01/2012
NEG,2,07/01/2012
NEG,2,08/01/2012
NEG,0,09/01/2012
NEG,2,10/01/2012
NEG,2,11/01/2012
NEG,0,12/01/2012
