key,value,date
POS,5,11/01/2007
POS,4,12/01/2007
POS,4,01/01/2008
POS,4,02/01/2008
POS,4,03/01/2008
POS,5,04/01/2008
POS,1,05/01/2008
POS,7,06/01/2008
POS,6,07/01/2008
POS,4,08/01/2008
POS,3,09/01/2008
POS,4,10/01/2008
POS,5,11/01/2008
POS,3,12/01/2008
POS,3,01/01/2009
POS,2,02/01/2009
POS,2,03/01/2009
POS,10,04/01/2009
POS,4,05/01/2009
POS,3,06/01/2009
POS,13,07/01/2009
POS,9,08/01/2009
POS,6,09/01/2009
POS,7,10/01/2009
POS,18,11/01/2009
POS,11,12/01/2009
POS,4,01/01/2010
POS,8,02/01/2010
POS,2,03/01/2010
POS,5,04/01/2010
POS,6,05/01/2010
POS,12,06/01/2010
POS,21,07/01/2010
POS,12,08/01/2010
POS,23,09/01/2010
POS,26,10/01/2010
POS,26,11/01/2010
POS,28,12/01/2010
POS,34,01/01/2011
POS,29,02/01/2011
POS,25,03/01/2011
POS,25,04/01/2011
POS,32,05/01/2011
POS,27,06/01/2011
POS,33,07/01/2011
POS,36,08/01/2011
POS,30,09/01/2011
POS,37,10/01/2011
POS,31,11/01/2011
POS,20,12/01/2011
POS,23,01/01/2012
POS,17,02/01/2012
POS,23,03/01/2012
POS,27,04/01/2012
POS,17,05/01/2012
POS,15,06/01/2012
POS,34,07/01/2012
POS,40,08/01/2012
POS,27,09/01/2012
POS,16,10/01/2012
POS,22,11/01/2012
POS,11,12/01/2012
NEG,0,11/01/2007
NEG,2,12/01/2007
NEG,1,01/01/2008
NEG,2,02/01/2008
NEG,0,03/01/2008
NEG,2,04/01/2008
NEG,0,05/01/2008
NEG,1,06/01/2008
NEG,7,07/01/2008
NEG,5,08/01/2008
NEG,5,09/01/2008
NEG,2,10/01/2008
NEG,1,11/01/2008
NEG,1,12/01/2008
NEG,2,01/01/2009
NEG,0,02/01/2009
NEG,1,03/01/2009
NEG,1,04/01/2009
NEG,5,05/01/2009
NEG,1,06/01/2009
NEG,1,07/01/2009
NEG,2,08/01/2009
NEG,2,09/01/2009
NEG,4,10/01/2009
NEG,1,11/01/2009
NEG,1,12/01/2009
NEG,0,01/01/2010
NEG,2,02/01/2010
NEG,4,03/01/2010
NEG,3,04/01/2010
NEG,2,05/01/2010
NEG,4,06/01/2010
NEG,3,07/01/2010
NEG,1,08/01/2010
NEG,5,09/01/2010
NEG,5,10/01/2010
NEG,1,11/01/2010
NEG,4,12/01/2010
NEG,4,01/01/2011
NEG,3,02/01/2011
NEG,3,03/01/2011
NEG,1,04/01/2011
NEG,7,05/01/2011
NEG,6,06/01/2011
NEG,5,07/01/2011
NEG,9,08/01/2011
NEG,5,09/01/2011
NEG,8,10/01/2011
NEG,7,11/01/2011
NEG,5,12/01/2011
NEG,4,01/01/2012
NEG,9,02/01/2012
NEG,3,03/01/2012
NEG,4,04/01/2012
NEG,4,05/01/2012
NEG,2,06/01/2012
NEG,4,07/01/2012
NEG,11,08/01/2012
NEG,6,09/01/2012
NEG,6,10/01/2012
NEG,2,11/01/2012
NEG,1,12/01/2012
