label,count,month
POS,2,12/01/2008
POS,8,01/01/2009
POS,5,02/01/2009
POS,5,03/01/2009
POS,4,04/01/2009
POS,8,05/01/2009
POS,7,06/01/2009
POS,7,07/01/2009
POS,5,08/01/2009
POS,8,09/01/2009
POS,14,10/01/2009
POS,6,11/01/2009
POS,4,12/01/2009
POS,9,01/01/2010
POS,6,02/01/2010
POS,3,03/01/2010
POS,2,04/01/2010
POS,9,05/01/2010
POS,8,06/01/2010
POS,6,07/01/2010
POS,17,08/01/2010
POS,7,09/01/2010
POS,10,10/01/2010
POS,13,11/01/2010
POS,7,12/01/2010
POS,4,01/01/2011
POS,5,02/01/2011
POS,15,03/01/2011
POS,11,04/01/2011
POS,14,05/01/2011
POS,23,06/01/2011
POS,23,07/01/2011
POS,40,08/01/2011
POS,40,09/01/2011
POS,22,10/01/2011
POS,21,11/01/2011
POS,21,12/01/2011
POS,22,01/01/2012
POS,31,02/01/2012
POS,36,03/01/2012
POS,36,04/01/2012
POS,31,05/01/2012
POS,32,06/01/2012
POS,41,07/01/2012
POS,32,08/01/2012
POS,28,09/01/2012
POS,24,10/01/2012
POS,24,11/01/2012
POS,20,12/01/2012
NEG,2,12/01/2008
NEG,3,01/01/2009
NEG,5,02/01/2009
NEG,0,03/01/2009
NEG,3,04/01/2009
NEG,2,05/01/2009
NEG,4,06/01/2009
NEG,1,07/01/2009
NEG,1,08/01/2009
NEG,3,09/01/2009
NEG,3,10/01/2009
NEG,3,11/01/2009
NEG,1,12/01/2009
NEG,2,01/01/2010
NEG,3,02/01/2010
NEG,5,03/01/2010
NEG,0,04/01/2010
NEG,2,05/01/2010
NEG,2,06/01/2010
NEG,3,07/01/2010
NEG,4,08/01/2010
NEG,3,09/01/2010
NEG,5,10/01/2010
NEG,4,11/01/2010
NEG,1,12/01/2010
NEG,4,01/01/2011
NEG,2,02/01/2011
NEG,2,03/01/2011
NEG,1,04/01/2011
NEG,0,05/01/2011
NEG,3,06/01/2011
NEG,7,07/01/2011
NEG,13,08/01/2011
NEG,8,09/01/2011
NEG,4,10/01/2011
NEG,3,11/01/2011
NEG,3,12/01/2011
NEG,2,01/01/2012
NEG,6,02/01/2012
NEG,7,03/01/2012
NEG,2,04/01/2012
NEG,4,05/01/2012
NEG,11,06/01/2012
NEG,6,07/01/2012
NEG,7,08/01/2012
NEG,7,09/01/2012
NEG,6,10/01/2012
NEG,4,11/01/2012
NEG,3,12/01/2012
