label,count,month
POS,11,07/01/2009
POS,10,08/01/2009
POS,10,09/01/2009
POS,6,10/01/2009
POS,7,11/01/2009
POS,7,12/01/2009
POS,13,01/01/2010
POS,9,02/01/2010
POS,4,03/01/2010
POS,6,04/01/2010
POS,9,05/01/2010
POS,11,06/01/2010
POS,10,07/01/2010
POS,11,08/01/2010
POS,11,09/01/2010
POS,22,10/01/2010
POS,7,11/01/2010
POS,6,12/01/2010
POS,26,01/01/2011
POS,12,02/01/2011
POS,29,03/01/2011
POS,22,04/01/2011
POS,22,05/01/2011
POS,29,06/01/2011
POS,24,07/01/2011
POS,32,08/01/2011
POS,20,09/01/2011
POS,18,10/01/2011
POS,14,11/01/2011
POS,14,12/01/2011
POS,10,01/01/2012
POS,23,02/01/2012
POS,16,03/01/2012
POS,24,04/01/2012
POS,15,05/01/2012
POS,19,06/01/2012
POS,21,07/01/2012
POS,27,08/01/2012
POS,22,09/01/2012
POS,20,10/01/2012
POS,8,11/01/2012
POS,9,12/01/2012
NEG,2,07/01/2009
NEG,1,08/01/2009
NEG,0,09/01/2009
NEG,2,10/01/2009
NEG,1,11/01/2009
NEG,1,12/01/2009
NEG,1,01/01/2010
NEG,1,02/01/2010
NEG,0,03/01/2010
NEG,1,04/01/2010
NEG,1,05/01/2010
NEG,2,06/01/2010
NEG,2,07/01/2010
NEG,1,08/01/2010
NEG,1,09/01/2010
NEG,3,10/01/2010
NEG,2,11/01/2010
NEG,2,12/01/2010
NEG,3,01/01/2011
NEG,3,02/01/2011
NEG,1,03/01/2011
NEG,2,04/01/2011
NEG,1,05/01/2011
NEG,2,06/01/2011
NEG,5,07/01/2011
NEG,4,08/01/2011
NEG,3,09/01/2011
NEG,1,10/01/2011
NEG,5,11/01/2011
NEG,2,12/01/2011
NEG,1,01/01/2012
NEG,4,02/01/2012
NEG,1,03/01/2012
NEG,1,04/01/2012
NEG,1,05/01/2012
NEG,3,06/01/2012
NEG,5,07/01/2012
NEG,4,08/01/2012
NEG,2,09/01/2012
NEG,2,10/01/2012
NEG,0,11/01/2012
NEG,3,12/01/2012
