label,count,month
POS,1,06/01/2011
POS,2,07/01/2011
POS,2,08/01/2011
POS,3,09/01/2011
POS,0,12/01/2011
POS,1,01/01/2012
POS,3,02/01/2012
POS,4,03/01/2012
POS,5,04/01/2012
POS,7,05/01/2012
POS,5,06/01/2012
POS,8,07/01/2012
POS,5,08/01/2012
POS,8,09/01/2012
POS,10,10/01/2012
POS,6,11/01/2012
POS,5,12/01/2012
NEG,1,06/01/2011
NEG,0,07/01/2011
NEG,0,08/01/2011
NEG,0,09/01/2011
NEG,1,12/01/2011
NEG,0,01/01/2012
NEG,0,02/01/2012
NEG,1,03/01/2012
NEG,1,04/01/2012
NEG,0,05/01/2012
NEG,0,06/01/2012
NEG,0,07/01/2012
NEG,2,08/01/2012
NEG,0,09/01/2012
NEG,2,10/01/2012
NEG,1,11/01/2012
NEG,2,12/01/2012
