key,value,date
POS,0,11/01/2001
POS,1,09/01/2002
POS,1,12/01/2002
POS,2,03/01/2003
POS,2,04/01/2003
POS,3,05/01/2003
POS,3,06/01/2003
POS,1,07/01/2003
POS,1,08/01/2003
POS,1,09/01/2003
POS,1,10/01/2003
POS,1,11/01/2003
POS,2,12/01/2003
POS,1,02/01/2004
POS,4,03/01/2004
POS,3,04/01/2004
POS,1,06/01/2004
POS,3,07/01/2004
POS,3,09/01/2004
POS,3,10/01/2004
POS,1,11/01/2004
POS,3,12/01/2004
POS,3,01/01/2005
POS,3,02/01/2005
POS,5,03/01/2005
POS,1,04/01/2005
POS,4,05/01/2005
POS,4,06/01/2005
POS,2,07/01/2005
POS,1,08/01/2005
POS,6,09/01/2005
POS,4,10/01/2005
POS,4,11/01/2005
POS,5,12/01/2005
POS,6,01/01/2006
POS,5,02/01/2006
POS,5,03/01/2006
POS,4,04/01/2006
POS,2,05/01/2006
POS,9,06/01/2006
POS,2,07/01/2006
POS,1,08/01/2006
POS,17,09/01/2006
POS,7,10/01/2006
POS,8,11/01/2006
POS,5,12/01/2006
POS,6,01/01/2007
POS,6,02/01/2007
POS,6,03/01/2007
POS,9,04/01/2007
POS,8,05/01/2007
POS,7,06/01/2007
POS,6,07/01/2007
POS,6,08/01/2007
POS,5,09/01/2007
POS,8,10/01/2007
POS,4,11/01/2007
POS,4,12/01/2007
POS,8,01/01/2008
POS,4,02/01/2008
POS,9,03/01/2008
POS,3,04/01/2008
POS,7,05/01/2008
POS,9,06/01/2008
POS,5,07/01/2008
POS,5,08/01/2008
POS,4,09/01/2008
POS,8,10/01/2008
POS,7,11/01/2008
POS,2,12/01/2008
POS,7,01/01/2009
POS,2,02/01/2009
POS,6,03/01/2009
POS,11,04/01/2009
POS,4,05/01/2009
POS,4,06/01/2009
POS,3,07/01/2009
POS,2,08/01/2009
POS,6,09/01/2009
POS,11,10/01/2009
POS,10,11/01/2009
POS,5,12/01/2009
POS,7,01/01/2010
POS,17,02/01/2010
POS,10,03/01/2010
POS,13,04/01/2010
POS,4,05/01/2010
POS,9,06/01/2010
POS,8,07/01/2010
POS,11,08/01/2010
POS,10,09/01/2010
POS,15,10/01/2010
POS,10,11/01/2010
POS,12,12/01/2010
POS,17,01/01/2011
POS,15,02/01/2011
POS,12,03/01/2011
POS,8,04/01/2011
POS,14,05/01/2011
POS,15,06/01/2011
POS,20,07/01/2011
POS,21,08/01/2011
POS,22,09/01/2011
POS,17,10/01/2011
POS,12,11/01/2011
POS,6,12/01/2011
POS,20,01/01/2012
POS,18,02/01/2012
POS,15,03/01/2012
POS,24,04/01/2012
POS,10,05/01/2012
POS,9,06/01/2012
POS,17,07/01/2012
POS,16,08/01/2012
POS,16,09/01/2012
POS,21,10/01/2012
POS,22,11/01/2012
POS,5,12/01/2012
NEG,1,11/01/2001
NEG,0,09/01/2002
NEG,0,12/01/2002
NEG,0,03/01/2003
NEG,0,04/01/2003
NEG,0,05/01/2003
NEG,0,06/01/2003
NEG,1,07/01/2003
NEG,0,08/01/2003
NEG,0,09/01/2003
NEG,0,10/01/2003
NEG,0,11/01/2003
NEG,0,12/01/2003
NEG,0,02/01/2004
NEG,0,03/01/2004
NEG,0,04/01/2004
NEG,0,06/01/2004
NEG,0,07/01/2004
NEG,0,09/01/2004
NEG,1,10/01/2004
NEG,0,11/01/2004
NEG,0,12/01/2004
NEG,0,01/01/2005
NEG,0,02/01/2005
NEG,1,03/01/2005
NEG,0,04/01/2005
NEG,0,05/01/2005
NEG,2,06/01/2005
NEG,0,07/01/2005
NEG,5,08/01/2005
NEG,1,09/01/2005
NEG,1,10/01/2005
NEG,0,11/01/2005
NEG,0,12/01/2005
NEG,1,01/01/2006
NEG,0,02/01/2006
NEG,1,03/01/2006
NEG,0,04/01/2006
NEG,0,05/01/2006
NEG,0,06/01/2006
NEG,0,07/01/2006
NEG,1,08/01/2006
NEG,0,09/01/2006
NEG,0,10/01/2006
NEG,0,11/01/2006
NEG,0,12/01/2006
NEG,0,01/01/2007
NEG,0,02/01/2007
NEG,1,03/01/2007
NEG,2,04/01/2007
NEG,0,05/01/2007
NEG,0,06/01/2007
NEG,0,07/01/2007
NEG,0,08/01/2007
NEG,0,09/01/2007
NEG,1,10/01/2007
NEG,0,11/01/2007
NEG,0,12/01/2007
NEG,0,01/01/2008
NEG,1,02/01/2008
NEG,0,03/01/2008
NEG,3,04/01/2008
NEG,1,05/01/2008
NEG,0,06/01/2008
NEG,0,07/01/2008
NEG,0,08/01/2008
NEG,0,09/01/2008
NEG,0,10/01/2008
NEG,1,11/01/2008
NEG,1,12/01/2008
NEG,1,01/01/2009
NEG,0,02/01/2009
NEG,0,03/01/2009
NEG,1,04/01/2009
NEG,0,05/01/2009
NEG,1,06/01/2009
NEG,0,07/01/2009
NEG,1,08/01/2009
NEG,1,09/01/2009
NEG,1,10/01/2009
NEG,4,11/01/2009
NEG,0,12/01/2009
NEG,0,01/01/2010
NEG,0,02/01/2010
NEG,1,03/01/2010
NEG,0,04/01/2010
NEG,0,05/01/2010
NEG,3,06/01/2010
NEG,1,07/01/2010
NEG,0,08/01/2010
NEG,0,09/01/2010
NEG,0,10/01/2010
NEG,1,11/01/2010
NEG,0,12/01/2010
NEG,0,01/01/2011
NEG,2,02/01/2011
NEG,0,03/01/2011
NEG,0,04/01/2011
NEG,3,05/01/2011
NEG,1,06/01/2011
NEG,3,07/01/2011
NEG,0,08/01/2011
NEG,3,09/01/2011
NEG,0,10/01/2011
NEG,0,11/01/2011
NEG,1,12/01/2011
NEG,0,01/01/2012
NEG,0,02/01/2012
NEG,0,03/01/2012
NEG,4,04/01/2012
NEG,0,05/01/2012
NEG,1,06/01/2012
NEG,0,07/01/2012
NEG,2,08/01/2012
NEG,3,09/01/2012
NEG,1,10/01/2012
NEG,0,11/01/2012
NEG,0,12/01/2012
