label,count,month
POS,1,06/01/2011
POS,6,07/01/2011
POS,5,08/01/2011
POS,6,09/01/2011
POS,16,10/01/2011
POS,11,11/01/2011
POS,12,12/01/2011
POS,20,01/01/2012
POS,14,02/01/2012
POS,17,03/01/2012
POS,18,04/01/2012
POS,7,05/01/2012
POS,21,06/01/2012
POS,24,07/01/2012
POS,27,08/01/2012
POS,26,09/01/2012
POS,21,10/01/2012
POS,18,11/01/2012
POS,11,12/01/2012
NEG,0,06/01/2011
NEG,2,07/01/2011
NEG,2,08/01/2011
NEG,2,09/01/2011
NEG,1,10/01/2011
NEG,1,11/01/2011
NEG,0,12/01/2011
NEG,2,01/01/2012
NEG,2,02/01/2012
NEG,2,03/01/2012
NEG,1,04/01/2012
NEG,2,05/01/2012
NEG,0,06/01/2012
NEG,4,07/01/2012
NEG,3,08/01/2012
NEG,1,09/01/2012
NEG,2,10/01/2012
NEG,0,11/01/2012
NEG,0,12/01/2012
