label,count,month
POS,0,05/01/2002
POS,1,12/01/2002
POS,0,01/01/2003
POS,1,02/01/2003
POS,3,04/01/2003
POS,1,05/01/2003
POS,5,06/01/2003
POS,8,07/01/2003
POS,8,08/01/2003
POS,2,09/01/2003
POS,3,10/01/2003
POS,3,11/01/2003
POS,4,12/01/2003
POS,4,01/01/2004
POS,4,02/01/2004
POS,5,03/01/2004
POS,5,04/01/2004
POS,2,05/01/2004
POS,7,06/01/2004
POS,3,07/01/2004
POS,8,08/01/2004
POS,2,09/01/2004
POS,3,10/01/2004
POS,5,11/01/2004
POS,4,12/01/2004
POS,1,01/01/2005
POS,1,02/01/2005
POS,11,03/01/2005
POS,9,04/01/2005
POS,1,05/01/2005
POS,6,06/01/2005
POS,6,07/01/2005
POS,7,08/01/2005
POS,6,09/01/2005
POS,3,10/01/2005
POS,2,11/01/2005
POS,2,12/01/2005
POS,6,01/01/2006
POS,2,02/01/2006
POS,4,03/01/2006
POS,8,04/01/2006
POS,2,05/01/2006
POS,3,06/01/2006
POS,6,07/01/2006
POS,7,08/01/2006
POS,5,09/01/2006
POS,2,10/01/2006
POS,4,11/01/2006
POS,3,12/01/2006
POS,6,01/01/2007
POS,3,02/01/2007
POS,3,03/01/2007
POS,4,04/01/2007
POS,3,05/01/2007
POS,4,06/01/2007
POS,4,07/01/2007
POS,9,08/01/2007
POS,1,09/01/2007
POS,6,10/01/2007
POS,3,11/01/2007
POS,3,12/01/2007
POS,1,01/01/2008
POS,8,02/01/2008
POS,5,03/01/2008
POS,4,04/01/2008
POS,4,05/01/2008
POS,9,06/01/2008
POS,7,07/01/2008
POS,5,08/01/2008
POS,6,09/01/2008
POS,3,10/01/2008
POS,2,11/01/2008
POS,0,12/01/2008
POS,5,01/01/2009
POS,5,02/01/2009
POS,4,03/01/2009
POS,8,04/01/2009
POS,6,05/01/2009
POS,5,06/01/2009
POS,8,07/01/2009
POS,6,08/01/2009
POS,2,09/01/2009
POS,5,10/01/2009
POS,3,11/01/2009
POS,5,12/01/2009
POS,2,01/01/2010
POS,5,02/01/2010
POS,18,03/01/2010
POS,15,04/01/2010
POS,9,05/01/2010
POS,10,06/01/2010
POS,13,07/01/2010
POS,12,08/01/2010
POS,12,09/01/2010
POS,17,10/01/2010
POS,14,11/01/2010
POS,12,12/01/2010
POS,18,01/01/2011
POS,16,02/01/2011
POS,23,03/01/2011
POS,13,04/01/2011
POS,33,05/01/2011
POS,49,06/01/2011
POS,35,07/01/2011
POS,47,08/01/2011
POS,47,09/01/2011
POS,41,10/01/2011
POS,38,11/01/2011
POS,32,12/01/2011
POS,28,01/01/2012
POS,37,02/01/2012
POS,32,03/01/2012
POS,47,04/01/2012
POS,33,05/01/2012
POS,42,06/01/2012
POS,49,07/01/2012
POS,26,08/01/2012
POS,27,09/01/2012
POS,32,10/01/2012
POS,26,11/01/2012
POS,10,12/01/2012
NEG,1,05/01/2002
NEG,0,12/01/2002
NEG,1,01/01/2003
NEG,1,02/01/2003
NEG,1,04/01/2003
NEG,2,05/01/2003
NEG,1,06/01/2003
NEG,0,07/01/2003
NEG,1,08/01/2003
NEG,2,09/01/2003
NEG,0,10/01/2003
NEG,0,11/01/2003
NEG,0,12/01/2003
NEG,0,01/01/2004
NEG,1,02/01/2004
NEG,2,03/01/2004
NEG,2,04/01/2004
NEG,0,05/01/2004
NEG,1,06/01/2004
NEG,3,07/01/2004
NEG,4,08/01/2004
NEG,2,09/01/2004
NEG,1,10/01/2004
NEG,0,11/01/2004
NEG,0,12/01/2004
NEG,2,01/01/2005
NEG,3,02/01/2005
NEG,1,03/01/2005
NEG,3,04/01/2005
NEG,2,05/01/2005
NEG,1,06/01/2005
NEG,2,07/01/2005
NEG,5,08/01/2005
NEG,2,09/01/2005
NEG,0,10/01/2005
NEG,0,11/01/2005
NEG,2,12/01/2005
NEG,2,01/01/2006
NEG,2,02/01/2006
NEG,1,03/01/2006
NEG,2,04/01/2006
NEG,0,05/01/2006
NEG,2,06/01/2006
NEG,6,07/01/2006
NEG,6,08/01/2006
NEG,1,09/01/2006
NEG,4,10/01/2006
NEG,1,11/01/2006
NEG,1,12/01/2006
NEG,3,01/01/2007
NEG,2,02/01/2007
NEG,2,03/01/2007
NEG,3,04/01/2007
NEG,2,05/01/2007
NEG,1,06/01/2007
NEG,4,07/01/2007
NEG,9,08/01/2007
NEG,5,09/01/2007
NEG,0,10/01/2007
NEG,0,11/01/2007
NEG,1,12/01/2007
NEG,1,01/01/2008
NEG,2,02/01/2008
NEG,2,03/01/2008
NEG,4,04/01/2008
NEG,4,05/01/2008
NEG,2,06/01/2008
NEG,3,07/01/2008
NEG,2,08/01/2008
NEG,0,09/01/2008
NEG,4,10/01/2008
NEG,0,11/01/2008
NEG,1,12/01/2008
NEG,1,01/01/2009
NEG,0,02/01/2009
NEG,3,03/01/2009
NEG,0,04/01/2009
NEG,3,05/01/2009
NEG,1,06/01/2009
NEG,4,07/01/2009
NEG,5,08/01/2009
NEG,1,09/01/2009
NEG,5,10/01/2009
NEG,2,11/01/2009
NEG,1,12/01/2009
NEG,2,01/01/2010
NEG,3,02/01/2010
NEG,2,03/01/2010
NEG,3,04/01/2010
NEG,5,05/01/2010
NEG,1,06/01/2010
NEG,5,07/01/2010
NEG,6,08/01/2010
NEG,4,09/01/2010
NEG,4,10/01/2010
NEG,5,11/01/2010
NEG,4,12/01/2010
NEG,2,01/01/2011
NEG,2,02/01/2011
NEG,2,03/01/2011
NEG,8,04/01/2011
NEG,2,05/01/2011
NEG,6,06/01/2011
NEG,12,07/01/2011
NEG,9,08/01/2011
NEG,12,09/01/2011
NEG,5,10/01/2011
NEG,2,11/01/2011
NEG,3,12/01/2011
NEG,6,01/01/2012
NEG,6,02/01/2012
NEG,8,03/01/2012
NEG,7,04/01/2012
NEG,10,05/01/2012
NEG,9,06/01/2012
NEG,12,07/01/2012
NEG,14,08/01/2012
NEG,10,09/01/2012
NEG,8,10/01/2012
NEG,7,11/01/2012
NEG,1,12/01/2012
