label,count,month
POS,2,12/01/2009
POS,2,01/01/2010
POS,3,02/01/2010
POS,2,03/01/2010
POS,3,04/01/2010
POS,3,05/01/2010
POS,1,06/01/2010
POS,7,07/01/2010
POS,5,08/01/2010
POS,1,09/01/2010
POS,4,10/01/2010
POS,3,11/01/2010
POS,4,12/01/2010
POS,3,01/01/2011
POS,6,02/01/2011
POS,8,03/01/2011
POS,9,04/01/2011
POS,13,05/01/2011
POS,4,06/01/2011
POS,8,07/01/2011
POS,6,08/01/2011
POS,13,09/01/2011
POS,5,10/01/2011
POS,5,11/01/2011
POS,6,12/01/2011
POS,7,01/01/2012
POS,9,02/01/2012
POS,12,03/01/2012
POS,13,04/01/2012
POS,11,05/01/2012
POS,10,06/01/2012
POS,12,07/01/2012
POS,9,08/01/2012
POS,12,09/01/2012
POS,11,10/01/2012
POS,11,11/01/2012
POS,4,12/01/2012
NEG,1,12/01/2009
NEG,0,01/01/2010
NEG,0,02/01/2010
NEG,0,03/01/2010
NEG,0,04/01/2010
NEG,0,05/01/2010
NEG,0,06/01/2010
NEG,1,07/01/2010
NEG,0,08/01/2010
NEG,0,09/01/2010
NEG,0,10/01/2010
NEG,1,11/01/2010
NEG,0,12/01/2010
NEG,0,01/01/2011
NEG,1,02/01/2011
NEG,0,03/01/2011
NEG,0,04/01/2011
NEG,2,05/01/2011
NEG,0,06/01/2011
NEG,0,07/01/2011
NEG,0,08/01/2011
NEG,0,09/01/2011
NEG,0,10/01/2011
NEG,2,11/01/2011
NEG,0,12/01/2011
NEG,2,01/01/2012
NEG,0,02/01/2012
NEG,1,03/01/2012
NEG,2,04/01/2012
NEG,0,05/01/2012
NEG,0,06/01/2012
NEG,2,07/01/2012
NEG,5,08/01/2012
NEG,2,09/01/2012
NEG,0,10/01/2012
NEG,0,11/01/2012
NEG,1,12/01/2012
