key,value,date
POS,3,11/01/2009
POS,0,01/01/2010
POS,0,05/01/2010
POS,0,09/01/2010
POS,0,05/01/2011
POS,1,08/01/2011
POS,1,09/01/2011
POS,2,12/01/2011
POS,2,01/01/2012
POS,1,02/01/2012
POS,1,04/01/2012
POS,4,05/01/2012
POS,1,06/01/2012
POS,5,07/01/2012
POS,4,08/01/2012
POS,4,09/01/2012
POS,1,10/01/2012
POS,1,11/01/2012
POS,2,12/01/2012
NEG,0,11/01/2009
NEG,1,01/01/2010
NEG,1,05/01/2010
NEG,1,09/01/2010
NEG,1,05/01/2011
NEG,1,08/01/2011
NEG,0,09/01/2011
NEG,2,12/01/2011
NEG,1,01/01/2012
NEG,0,02/01/2012
NEG,0,04/01/2012
NEG,0,05/01/2012
NEG,1,06/01/2012
NEG,2,07/01/2012
NEG,1,08/01/2012
NEG,0,09/01/2012
NEG,2,10/01/2012
NEG,0,11/01/2012
NEG,0,12/01/2012
