label,count,month
POS,2,03/01/2003
POS,1,05/01/2003
POS,2,06/01/2003
POS,1,07/01/2003
POS,2,08/01/2003
POS,2,09/01/2003
POS,0,11/01/2003
POS,1,01/01/2004
POS,4,03/01/2004
POS,2,04/01/2004
POS,4,05/01/2004
POS,2,06/01/2004
POS,4,07/01/2004
POS,8,08/01/2004
POS,6,09/01/2004
POS,3,10/01/2004
POS,0,11/01/2004
POS,3,12/01/2004
POS,1,01/01/2005
POS,4,02/01/2005
POS,5,03/01/2005
POS,7,04/01/2005
POS,3,05/01/2005
POS,3,06/01/2005
POS,1,07/01/2005
POS,6,08/01/2005
POS,1,10/01/2005
POS,1,11/01/2005
POS,2,12/01/2005
POS,3,01/01/2006
POS,1,02/01/2006
POS,2,03/01/2006
POS,3,04/01/2006
POS,8,05/01/2006
POS,3,06/01/2006
POS,7,07/01/2006
POS,1,08/01/2006
POS,7,09/01/2006
POS,3,10/01/2006
POS,3,11/01/2006
POS,5,12/01/2006
POS,3,01/01/2007
POS,3,02/01/2007
POS,2,03/01/2007
POS,3,04/01/2007
POS,4,05/01/2007
POS,3,06/01/2007
POS,3,07/01/2007
POS,6,08/01/2007
POS,4,09/01/2007
POS,3,10/01/2007
POS,1,11/01/2007
POS,5,12/01/2007
POS,3,01/01/2008
POS,13,02/01/2008
POS,6,03/01/2008
POS,7,04/01/2008
POS,6,05/01/2008
POS,10,06/01/2008
POS,5,07/01/2008
POS,10,08/01/2008
POS,5,09/01/2008
POS,7,10/01/2008
POS,4,11/01/2008
POS,1,12/01/2008
POS,5,01/01/2009
POS,8,02/01/2009
POS,11,03/01/2009
POS,15,04/01/2009
POS,9,05/01/2009
POS,15,06/01/2009
POS,7,07/01/2009
POS,13,08/01/2009
POS,18,09/01/2009
POS,15,10/01/2009
POS,6,11/01/2009
POS,3,12/01/2009
POS,7,01/01/2010
POS,10,02/01/2010
POS,8,03/01/2010
POS,11,04/01/2010
POS,6,05/01/2010
POS,6,06/01/2010
POS,12,07/01/2010
POS,10,08/01/2010
POS,14,09/01/2010
POS,21,10/01/2010
POS,5,11/01/2010
POS,7,12/01/2010
POS,17,01/01/2011
POS,13,02/01/2011
POS,16,03/01/2011
POS,5,04/01/2011
POS,10,05/01/2011
POS,15,06/01/2011
POS,13,07/01/2011
POS,25,08/01/2011
POS,22,09/01/2011
POS,11,10/01/2011
POS,7,11/01/2011
POS,4,12/01/2011
POS,18,01/01/2012
POS,8,02/01/2012
POS,16,03/01/2012
POS,10,04/01/2012
POS,18,05/01/2012
POS,25,06/01/2012
POS,18,07/01/2012
POS,18,08/01/2012
