key,value,date
POS,1,11/01/2007
POS,4,01/01/2008
POS,3,02/01/2008
POS,2,03/01/2008
POS,2,04/01/2008
POS,2,05/01/2008
POS,2,07/01/2008
POS,6,08/01/2008
POS,2,09/01/2008
POS,5,10/01/2008
POS,2,11/01/2008
POS,4,12/01/2008
POS,4,01/01/2009
POS,2,03/01/2009
POS,0,04/01/2009
POS,1,05/01/2009
POS,4,06/01/2009
POS,3,07/01/2009
POS,5,08/01/2009
POS,3,09/01/2009
POS,7,10/01/2009
POS,5,12/01/2009
POS,3,01/01/2010
POS,3,02/01/2010
POS,7,03/01/2010
POS,5,04/01/2010
POS,5,05/01/2010
POS,9,06/01/2010
POS,4,07/01/2010
POS,6,08/01/2010
POS,6,09/01/2010
POS,11,10/01/2010
POS,3,11/01/2010
POS,5,12/01/2010
POS,9,01/01/2011
POS,5,02/01/2011
POS,3,03/01/2011
POS,5,04/01/2011
POS,1,05/01/2011
POS,15,06/01/2011
POS,15,07/01/2011
POS,20,08/01/2011
POS,17,09/01/2011
POS,12,10/01/2011
POS,9,11/01/2011
POS,7,12/01/2011
POS,21,01/01/2012
POS,8,02/01/2012
POS,19,03/01/2012
POS,17,04/01/2012
POS,15,05/01/2012
POS,17,06/01/2012
POS,16,07/01/2012
POS,26,08/01/2012
POS,20,09/01/2012
POS,17,10/01/2012
POS,15,11/01/2012
POS,1,12/01/2012
NEG,0,11/01/2007
NEG,0,01/01/2008
NEG,0,02/01/2008
NEG,0,03/01/2008
NEG,0,04/01/2008
NEG,0,05/01/2008
NEG,0,07/01/2008
NEG,0,08/01/2008
NEG,0,09/01/2008
NEG,1,10/01/2008
NEG,0,11/01/2008
NEG,0,12/01/2008
NEG,0,01/01/2009
NEG,0,03/01/2009
NEG,1,04/01/2009
NEG,0,05/01/2009
NEG,0,06/01/2009
NEG,0,07/01/2009
NEG,2,08/01/2009
NEG,0,09/01/2009
NEG,1,10/01/2009
NEG,0,12/01/2009
NEG,0,01/01/2010
NEG,0,02/01/2010
NEG,1,03/01/2010
NEG,0,04/01/2010
NEG,1,05/01/2010
NEG,0,06/01/2010
NEG,0,07/01/2010
NEG,0,08/01/2010
NEG,1,09/01/2010
NEG,0,10/01/2010
NEG,1,11/01/2010
NEG,0,12/01/2010
NEG,0,01/01/2011
NEG,0,02/01/2011
NEG,1,03/01/2011
NEG,1,04/01/2011
NEG,0,05/01/2011
NEG,0,06/01/2011
NEG,0,07/01/2011
NEG,2,08/01/2011
NEG,0,09/01/2011
NEG,1,10/01/2011
NEG,2,11/01/2011
NEG,0,12/01/2011
NEG,0,01/01/2012
NEG,2,02/01/2012
NEG,2,03/01/2012
NEG,0,04/01/2012
NEG,0,05/01/2012
NEG,1,06/01/2012
NEG,0,07/01/2012
NEG,2,08/01/2012
NEG,2,09/01/2012
NEG,1,10/01/2012
NEG,1,11/01/2012
NEG,0,12/01/2012
