label,count,month
POS,8,02/01/2007
POS,1,03/01/2007
POS,5,04/01/2007
POS,5,05/01/2007
POS,4,06/01/2007
POS,2,07/01/2007
POS,8,08/01/2007
POS,2,09/01/2007
POS,6,10/01/2007
POS,7,11/01/2007
POS,2,12/01/2007
POS,4,01/01/2008
POS,6,02/01/2008
POS,3,03/01/2008
POS,8,04/01/2008
POS,1,05/01/2008
POS,4,06/01/2008
POS,8,07/01/2008
POS,5,08/01/2008
POS,1,09/01/2008
POS,3,10/01/2008
POS,3,11/01/2008
POS,5,12/01/2008
POS,3,01/01/2009
POS,3,02/01/2009
POS,4,03/01/2009
POS,1,04/01/2009
POS,5,05/01/2009
POS,5,06/01/2009
POS,10,07/01/2009
POS,7,08/01/2009
POS,4,09/01/2009
POS,13,10/01/2009
POS,7,11/01/2009
POS,2,12/01/2009
POS,3,01/01/2010
POS,3,02/01/2010
POS,2,03/01/2010
POS,4,04/01/2010
POS,5,05/01/2010
POS,11,06/01/2010
POS,14,07/01/2010
POS,11,08/01/2010
POS,7,09/01/2010
POS,7,10/01/2010
POS,13,11/01/2010
POS,7,01/01/2011
POS,4,02/01/2011
POS,1,03/01/2011
POS,3,04/01/2011
POS,9,05/01/2011
POS,2,06/01/2011
POS,12,07/01/2011
POS,9,08/01/2011
POS,11,09/01/2011
POS,14,10/01/2011
POS,11,11/01/2011
POS,3,12/01/2011
POS,8,01/01/2012
POS,6,02/01/2012
POS,10,03/01/2012
POS,8,04/01/2012
POS,9,05/01/2012
POS,9,06/01/2012
POS,11,07/01/2012
POS,17,08/01/2012
POS,11,09/01/2012
POS,10,10/01/2012
POS,15,11/01/2012
POS,4,12/01/2012
NEG,0,02/01/2007
NEG,0,03/01/2007
NEG,2,04/01/2007
NEG,1,05/01/2007
NEG,2,06/01/2007
NEG,0,07/01/2007
NEG,1,08/01/2007
NEG,2,09/01/2007
NEG,2,10/01/2007
NEG,2,11/01/2007
NEG,1,12/01/2007
NEG,1,01/01/2008
NEG,1,02/01/2008
NEG,0,03/01/2008
NEG,2,04/01/2008
NEG,0,05/01/2008
NEG,0,06/01/2008
NEG,5,07/01/2008
NEG,3,08/01/2008
NEG,3,09/01/2008
NEG,0,10/01/2008
NEG,0,11/01/2008
NEG,1,12/01/2008
NEG,0,01/01/2009
NEG,2,02/01/2009
NEG,1,03/01/2009
NEG,2,04/01/2009
NEG,1,05/01/2009
NEG,1,06/01/2009
NEG,2,07/01/2009
NEG,1,08/01/2009
NEG,1,09/01/2009
NEG,2,10/01/2009
NEG,0,11/01/2009
NEG,0,12/01/2009
NEG,1,01/01/2010
NEG,0,02/01/2010
NEG,1,03/01/2010
NEG,3,04/01/2010
NEG,0,05/01/2010
NEG,1,06/01/2010
NEG,1,07/01/2010
NEG,6,08/01/2010
NEG,1,09/01/2010
NEG,3,10/01/2010
NEG,1,11/01/2010
NEG,4,01/01/2011
NEG,3,02/01/2011
NEG,4,03/01/2011
NEG,2,04/01/2011
NEG,1,05/01/2011
NEG,2,06/01/2011
NEG,1,07/01/2011
NEG,3,08/01/2011
NEG,8,09/01/2011
NEG,3,10/01/2011
NEG,5,11/01/2011
NEG,4,12/01/2011
NEG,1,01/01/2012
NEG,3,02/01/2012
NEG,2,03/01/2012
NEG,3,04/01/2012
NEG,3,05/01/2012
NEG,6,06/01/2012
NEG,3,07/01/2012
NEG,4,08/01/2012
NEG,4,09/01/2012
NEG,2,10/01/2012
NEG,1,11/01/2012
NEG,2,12/01/2012
