key,value,date
POS,1,05/01/2007
POS,2,06/01/2007
POS,3,07/01/2007
POS,5,08/01/2007
POS,1,09/01/2007
POS,4,10/01/2007
POS,1,11/01/2007
POS,2,12/01/2007
POS,7,01/01/2008
POS,0,02/01/2008
POS,3,03/01/2008
POS,1,04/01/2008
POS,3,05/01/2008
POS,0,06/01/2008
POS,7,07/01/2008
POS,0,08/01/2008
POS,3,09/01/2008
POS,1,10/01/2008
POS,2,11/01/2008
POS,1,12/01/2008
POS,1,01/01/2009
POS,2,02/01/2009
POS,3,03/01/2009
POS,8,04/01/2009
POS,6,05/01/2009
POS,4,06/01/2009
POS,4,07/01/2009
POS,3,08/01/2009
POS,3,09/01/2009
POS,3,10/01/2009
POS,3,11/01/2009
POS,2,12/01/2009
POS,5,01/01/2010
POS,1,02/01/2010
POS,5,03/01/2010
POS,9,04/01/2010
POS,8,05/01/2010
POS,13,06/01/2010
POS,29,07/01/2010
POS,31,08/01/2010
POS,23,09/01/2010
POS,22,10/01/2010
POS,21,11/01/2010
POS,17,12/01/2010
POS,17,01/01/2011
POS,11,02/01/2011
POS,15,03/01/2011
POS,16,04/01/2011
POS,22,05/01/2011
POS,23,06/01/2011
POS,19,07/01/2011
POS,26,08/01/2011
POS,26,09/01/2011
POS,21,10/01/2011
POS,10,11/01/2011
POS,16,12/01/2011
POS,15,01/01/2012
POS,14,02/01/2012
POS,19,03/01/2012
POS,36,04/01/2012
POS,49,05/01/2012
POS,41,06/01/2012
POS,47,07/01/2012
POS,46,08/01/2012
POS,40,09/01/2012
POS,28,10/01/2012
POS,27,11/01/2012
POS,13,12/01/2012
NEG,0,05/01/2007
NEG,0,06/01/2007
NEG,1,07/01/2007
NEG,1,08/01/2007
NEG,0,09/01/2007
NEG,0,10/01/2007
NEG,0,11/01/2007
NEG,0,12/01/2007
NEG,1,01/01/2008
NEG,1,02/01/2008
NEG,2,03/01/2008
NEG,0,04/01/2008
NEG,0,05/01/2008
NEG,1,06/01/2008
NEG,4,07/01/2008
NEG,3,08/01/2008
NEG,1,09/01/2008
NEG,0,10/01/2008
NEG,1,11/01/2008
NEG,0,12/01/2008
NEG,1,01/01/2009
NEG,2,02/01/2009
NEG,1,03/01/2009
NEG,0,04/01/2009
NEG,0,05/01/2009
NEG,1,06/01/2009
NEG,0,07/01/2009
NEG,6,08/01/2009
NEG,1,09/01/2009
NEG,3,10/01/2009
NEG,1,11/01/2009
NEG,0,12/01/2009
NEG,2,01/01/2010
NEG,1,02/01/2010
NEG,1,03/01/2010
NEG,0,04/01/2010
NEG,1,05/01/2010
NEG,4,06/01/2010
NEG,5,07/01/2010
NEG,6,08/01/2010
NEG,5,09/01/2010
NEG,7,10/01/2010
NEG,4,11/01/2010
NEG,1,12/01/2010
NEG,5,01/01/2011
NEG,6,02/01/2011
NEG,6,03/01/2011
NEG,8,04/01/2011
NEG,6,05/01/2011
NEG,2,06/01/2011
NEG,2,07/01/2011
NEG,5,08/01/2011
NEG,2,09/01/2011
NEG,5,10/01/2011
NEG,7,11/01/2011
NEG,2,12/01/2011
NEG,3,01/01/2012
NEG,4,02/01/2012
NEG,4,03/01/2012
NEG,3,04/01/2012
NEG,9,05/01/2012
NEG,4,06/01/2012
NEG,6,07/01/2012
NEG,7,08/01/2012
NEG,10,09/01/2012
NEG,4,10/01/2012
NEG,5,11/01/2012
NEG,0,12/01/2012
